time,q,w,ref,error,integral,torque_unsat,torque_cmd,load
0.0,0.0,0.0,0.5235987755982988,0.5235987755982988,0.0,0.0,0.0,0.0
0.001,0.00015,0.15,0.5235987755982988,0.5234487755982988,0.004186662878254879,7.556926495250058,3.0,0.0
0.002,0.0004494,0.2994,0.5235987755982988,0.5231493755982988,0.008231513541770192,7.321888762036415,3.0,0.0
0.003,0.0008976024,0.4482024,0.5235987755982988,0.5227011731982988,0.012112069408859642,7.045560907805307,3.0,0.0
0.004,0.0014940119903999998,0.5964095904,0.5235987755982988,0.5221047636078988,0.015838910013994387,6.787507639312514,3.0,0.0
0.005,0.0022380359424384,0.7440239520384,0.5235987755982988,0.5213607396558604,0.019432959327603288,6.56645356113404,3.0,0.0
0.006,0.0031290837986686464,0.8910478562302464,0.5235987755982988,0.5204696917996302,0.022868912220750468,6.299059768768677,3.0,0.0
0.007,0.004166567463473972,1.0374836648053254,0.5235987755982988,0.5194322081348248,0.026140729404536326,6.019974577837223,3.0,0.0
0.008,0.005349901193620076,1.1833337301461042,0.5235987755982988,0.5182488744046787,0.029260911194598175,5.762631778084318,3.0,0.0
0.009000000000000001,0.006678501588845596,1.3286003952255199,0.5235987755982988,0.5169202740094532,0.03222368575389614,5.494112635505817,3.0,0.0
0.01,0.008151787582490215,1.4732859936446179,0.5235987755982988,0.5154469880158086,0.03503640292082637,5.238072915078541,3.0,0.0
0.011,0.009769180432160254,1.6173928496700394,0.5235987755982988,0.5138295951661386,0.03768055347526953,4.947873765374036,3.0,0.0
0.012,0.011530103710431613,1.7609232782713593,0.5235987755982988,0.5120686718878672,0.040168367374861125,4.678906856139169,3.0,0.0
0.013000000000000001,0.013433983295589886,1.903879585158274,0.5235987755982988,0.510164792302709,0.04250353249046077,4.415814870531668,3.0,0.0
0.014,0.015480247362407527,2.046264066817641,0.5235987755982988,0.5081185282358913,0.04467310161551387,4.1285899331731475,3.0,0.0
0.015,0.0176683263729579,2.1880790105503705,0.5235987755982988,0.5059304492253409,0.0466885219436609,3.8611992003829707,3.0,0.0
0.016,0.019997653067466068,2.329326694508169,0.5235987755982988,0.5036011225308328,0.048553885519999215,3.6004238650089526,3.0,0.0
0.017,0.022467662455196206,2.4700093877301366,0.5235987755982988,0.5011311131431027,0.05025079343961709,3.305688222510257,3.0,0.0
0.018000000000000002,0.02507779180537542,2.610129350179216,0.5235987755982988,0.4985209837929234,0.05179652722044159,3.0413034415863143,3.0,0.0
0.019,0.027814244266616214,2.7364524612407926,0.5235987755982988,0.4957845313316826,0.05316843300057658,2.7352725692458715,2.7352725692458715,0.0
0.02,0.03066406607976887,2.8498218131526554,0.5235987755982988,0.49293470951852997,0.054398605338600754,2.4863032351365195,2.4863032351365195,0.0
0.021,0.033614907173733256,2.9508410939643848,0.5235987755982988,0.48998386842456554,0.055493551784359094,2.2483713612868033,2.2483713612868033,0.0
0.022,0.03665570226463724,3.0407950909039823,0.5235987755982988,0.4869430733336616,0.056467335422800816,2.0351472263090975,2.0351472263090975,0.0
0.023,0.03977482187191131,3.119119607274068,0.5235987755982988,0.48382395372638753,0.057313549969925486,1.809753934674029,1.809753934674029,0.0
0.024,0.04296371110172468,3.1888892298133715,0.5235987755982988,0.4806350644965741,0.058066100811763915,1.644922019367999,1.644922019367999,0.0
0.025,0.046213852437278574,3.2501413355538937,0.5235987755982988,0.4773849231610202,0.058725282390232995,1.4801532531955097,1.4801532531955097,0.0
0.026000000000000002,0.04951724305370037,3.3033906164217997,0.5235987755982988,0.47408153254459845,0.05929667879591236,1.324996924202427,1.324996924202427,0.0
0.027,0.05286606475194045,3.348821698240076,0.5235987755982988,0.47073271084635837,0.05978222422067674,1.1728928856792722,1.1728928856792722,0.0
0.028,0.056253844325309846,3.387779573369392,0.5235987755982988,0.467344931272989,0.060196712928345525,1.04706323844553,1.04706323844553,0.0
0.029,0.05967453784459796,3.4206935192881134,0.5235987755982988,0.46392423775370084,0.06054481138795896,0.9293012842439796,0.9293012842439796,0.0
0.03,0.06312264905745422,3.448111212856259,0.5235987755982988,0.4604761265408446,0.06083250407270476,0.8220093529059629,0.8220093529059629,0.0
0.031,0.06659209830312535,3.4694492456711226,0.5235987755982988,0.45700667729517347,0.061053250351354206,0.7026095533257664,0.7026095533257664,0.0
0.032,0.07008003015840089,3.487931855275546,0.5235987755982988,0.4535187454398979,0.061242691836110655,0.6472081317421625,0.6472081317421625,0.0
0.033,0.07358229838911447,3.50226823071358,0.5235987755982988,0.45001647720918436,0.061386486073230974,0.5657620571827285,0.5657620571827285,0.0
0.034,0.07709524908593293,3.5129506968184625,0.5235987755982988,0.4465035265123659,0.06149003086557922,0.49383078055473495,0.49383078055473495,0.0
0.035,0.08061446412706193,3.5192150411289953,0.5235987755982988,0.4429843114712369,0.06154480803324029,0.40632294195613067,0.40632294195613067,0.0
0.036000000000000004,0.0841365027008145,3.52203857375258,0.5235987755982988,0.4394622728974843,0.061561585770412486,0.3380078557620088,0.3380078557620088,0.0
0.037,0.0876593430906405,3.52284038982599,0.5235987755982988,0.4359394325076583,0.06155604088316392,0.2977994073684085,0.2977994073684085,0.0
0.038,0.09118082240644956,3.5214793158090645,0.5235987755982988,0.4324179531918493,0.06152658135210118,0.25460575084756887,0.25460575084756887,0.0
0.039,0.09469850918010339,3.5176867736538315,0.5235987755982988,0.42890026641819545,0.06147020162656077,0.20586750216006558,0.20586750216006558,0.0
0.04,0.09820927760309776,3.5107684229943703,0.5235987755982988,0.42538949799520104,0.0613791749897576,0.14304792870307795,0.14304792870307795,0.0
0.041,0.10171116381593284,3.501886212835078,0.5235987755982988,0.421887611782366,0.06126633365773816,0.10321727065370376,0.10321727065370376,0.0
0.042,0.10520257447045467,3.491410654521827,0.5235987755982988,0.41839620112784415,0.061135756407030735,0.0706397307617875,0.0706397307617875,0.0
0.043000000000000003,0.1086827049807189,3.480130510264228,0.5235987755982988,0.4149160706175799,0.06099616149577013,0.05370996720976329,0.05370996720976329,0.0
0.044,0.11214950535729121,3.4668003765723125,0.5235987755982988,0.41144927024100764,0.06083373875865322,0.011807766982823265,0.011807766982823265,0.0
0.045,0.11560176108666394,3.4522557293727325,0.5235987755982988,0.4079970145116349,0.060657717923385035,-0.013548913865816858,-0.013548913865816858,0.0
0.046,0.11903824219972015,3.436481113056213,0.5235987755982988,0.40456053339857867,0.06046791157568559,-0.039311867980574955,-0.039311867980574955,0.0
0.047,0.12245749559509898,3.4192533953788375,0.5235987755982988,0.4011412800031998,0.06026183100926928,-0.0696358645030114,-0.0696358645030114,0.0
0.048,0.12585903294040346,3.4015373453044764,0.5235987755982988,0.39773974265789536,0.06005014686250847,-0.08078072985691193,-0.08078072985691193,0.0
