time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_raw_rad_s,dq_filtered_rad_s,dq_hat_rad_s,q_control_estimate_rad,dq_control_estimate_rad_s,q_estimation_error_rad,dq_estimation_error_rad_s,q_control_estimation_error_rad,dq_control_estimation_error_rad_s,y_hat_rad,innovation_rad,torque_unsat_nm,torque_cmd_nm,saturated
0.001,0.5235987755982988,0.3497156263071748,0.3483737204707123,0.13673070646743846,0.6497759083088757,0.0,0.0,7.33224230104661,0.0,0.0,0.21298491983973633,-6.682466392737734,0.3497156263071748,0.6497759083088757,0.0,0.3483737204707123,17.010319405344383,3.0,True
0.002,0.5235987755982988,0.35021095686252984,0.34992556435634936,0.2276012145639744,0.4953305553550681,1.5518438856370609,0.15518438856370606,11.545438379837377,0.13673070646743846,7.33224230104661,0.12260974229855545,-11.050107824482309,0.2134802503950914,-6.836911745691542,0.13673070646743846,0.2131948578889109,-3.0150654504746157,-3.0,True
0.003,0.5235987755982988,0.35055246929500355,0.3485560999378884,0.28649383881319135,0.34151243247372354,-1.369464418460975,0.0027195078612379797,13.840291220938301,0.2276012145639744,11.545438379837377,0.0640586304818122,-13.498778788464577,0.12295125473102916,-11.203925947363652,0.2276012145639744,0.120954885373914,-14.921599999607762,-3.0,True
0.004,0.5235987755982988,0.3507407882873754,0.35177050989238295,0.32583603344268497,0.18831899237185915,3.214409954494568,0.32388855252457094,14.97819349085059,0.28649383881319135,13.840291220938301,0.024904754844690458,-14.78987449847873,0.06424694947418408,-13.651972228566441,0.28649383881319135,0.0652766710791916,-21.712163073813343,-3.0,True
0.005,0.5235987755982988,0.3507765359854769,0.3512978055287435,0.3506958213976992,0.03574769810150247,-0.47270436363944235,0.2442292609081696,15.290811836620804,0.32583603344268497,14.97819349085059,8.071458777769713e-05,-15.255064138519302,0.024940502542791954,-14.942445792749087,0.32583603344268497,0.025461772086058543,-25.408693402258244,-3.0,True
0.006,0.5235987755982988,0.3506603320084946,0.35052167647601457,0.3658115142669472,-0.11620397698232168,-0.7761290527289466,0.14219342954445802,15.073750889173077,0.3506958213976992,15.290811836620804,-0.015151182258452578,-15.189954866155398,-3.548938920461264e-05,-15.407015813603126,0.3506958213976992,-0.00017414492168466023,-26.880735656505053,-3.0,True
0.007,0.5235987755982988,0.3503927934592312,0.3503881048646795,0.3747288297529967,-0.2675385492634334,-0.13357161133509265,0.11461692545650295,14.54324901371986,0.3658115142669472,15.073750889173077,-0.024336036293765517,-14.810787562983293,-0.015418720807716002,-15.34128943843651,0.3658115142669472,-0.015423409402267718,-26.910479698238866,-3.0,True
0.008,0.5235987755982988,0.349974534934325,0.3506579398368186,0.3797246129998263,-0.4182585249061702,0.2698349721391158,0.13013873012476423,13.836653762086213,0.3747288297529967,14.54324901371986,-0.029750078065501284,-14.254912286992383,-0.024754294818671696,-14.96150753862603,0.3747288297529967,-0.024070889916178118,-26.072692395118562,-3.0,True
0.009000000000000001,0.5235987755982988,0.34940616853442813,0.3497409572568076,0.38169586127167265,-0.5683663998968901,-0.9169825800109943,0.0254265991111884,13.011047276201541,0.3797246129998263,13.836653762086213,-0.032289692737244524,-13.579413676098431,-0.030318444465398164,-14.405020161983103,0.3797246129998263,-0.0299836557430187,-24.73325002033665,-3.0,True
0.01,0.5235987755982988,0.3486883038743428,0.34920902586259167,0.381861266850979,-0.717864660085306,-0.5319313942159232,-0.030309200221522743,12.137190923150248,0.38169586127167265,13.011047276201541,-0.03317296297663619,-12.855055583235554,-0.033007557397329856,-13.728911936286847,0.38169586127167265,-0.03248683540908098,-23.04261150288514,-3.0,True
0.011,0.5235987755982988,0.34782154809311716,0.34931668158918366,0.38113193486003716,-0.8667557812256529,0.10765572659199307,-0.016512707540171166,11.265685909068244,0.381861266850979,12.137190923150248,-0.03331038676692,-12.132441690293897,-0.034039718757861825,-13.0039467043759,0.381861266850979,-0.03254458526179532,-21.190759528961532,-3.0,True
0.012,0.5235987755982988,0.3468065058640995,0.34827071311901253,0.3794086596414232,-1.0150422290176868,-1.0459684701711325,-0.11945828380326727,10.391186485023411,0.38113193486003716,11.265685909068244,-0.03260215377732367,-11.406228714041099,-0.03432542899593766,-12.28072813808593,0.38113193486003716,-0.03286122174102463,-19.314837282853475,-3.0,True
0.013000000000000001,0.5235987755982988,0.345643779404952,0.34675054368313335,0.37689232968765085,-1.1627264591475182,-1.5201694358791817,-0.2595293990108587,9.524417810944758,0.3794086596414232,10.391186485023411,-0.03124855028269885,-10.687144270092276,-0.03376488023647117,-11.553912944170929,0.3794086596414232,-0.032658115958289824,-17.400260404622685,-3.0,True
0.014,0.5235987755982988,0.3443339684876237,0.34556918703190787,0.37403465237183114,-1.309810917328279,-1.1813566512254847,-0.3517121242323213,8.688678817481243,0.37689232968765085,9.524417810944758,-0.029700683884207435,-9.998489734809523,-0.03255836120002714,-10.834228728273038,0.37689232968765085,-0.031323142655742986,-15.47634963370652,-3.0,True
0.015,0.5235987755982988,0.3428776704482831,0.34447439447015954,0.3710344492453833,-1.4562980393406253,-1.0947925617483256,-0.4260201679839217,7.892663933204776,0.37403465237183114,8.688678817481243,-0.028156778797100213,-9.348961972545402,-0.031156981923548044,-10.144976856821868,0.37403465237183114,-0.029560257901671605,-13.607297445293398,-3.0,True
0.016,0.5235987755982988,0.34127548019721005,0.3423418383156749,0.3675801931874582,-1.6021902510730734,-2.132556154484655,-0.596673766633995,7.117759351622992,0.3710344492453833,7.892663933204776,-0.02630471299024817,-8.719949602696065,-0.029758969048173267,-9.49485418427785,0.3710344492453833,-0.02869261092970843,-11.818041472756004,-3.0,True
0.017,0.5235987755982988,0.3395279902286479,0.3409231416235075,0.36415108314390365,-1.7474899685621752,-1.418696692167376,-0.6788760591873331,6.3879527404436605,0.3675801931874582,7.117759351622992,-0.024623092915255773,-8.135442709005837,-0.028052202958810335,-8.865249320185168,0.3675801931874582,-0.026657051563950707,-10.058900715560963,-3.0,True
0.018000000000000002,0.5235987755982988,0.33763579063061533,0.34000643749375686,0.3609791759656994,-1.8921995980325277,-0.9167041297506451,-0.7026588662436642,5.71289016953993,0.36415108314390365,6.3879527404436605,-0.023343385335084066,-7.6050897675724585,-0.026515292513288324,-8.280152338476189,0.36415108314390365,-0.02414464565014679,-8.39642456390558,-3.0,True
0.019,0.5235987755982988,0.3355994690946787,0.33752192291273997,0.35740321536903197,-2.0363215359366214,-2.4845145810168945,-0.8808444377209872,5.054732251993873,0.3609791759656994,5.71289016953993,-0.021803746274353275,-7.091053787930495,-0.025379706871020702,-7.749211705476552,0.3609791759656994,-0.023457253052959426,-6.8586529204429665,-3.0,True
0.02,0.5235987755982988,0.3334196109256842,0.33440005599012107,0.35334855666598813,-2.179858168994527,-3.121866922618899,-1.1049466862107784,4.408601673606411,0.35740321536903197,5.054732251993873,-0.01992894574030396,-6.588459842600938,-0.023983604443347795,-7.2345904209884,0.35740321536903197,-0.023003159378910898,-5.34368248605702,-3.0,True
0.021,0.5235987755982988,0.33109679905145073,0.33300310667031907,0.3496916046815468,-2.32281187423342,-1.3969493198019989,-1.1341469495699004,3.8198710233592648,0.35334855666598813,4.408601673606411,-0.01859480563009608,-6.142682897592685,-0.022251757614537404,-6.73141354783983,0.35334855666598813,-0.020345449995669063,-3.8387223951475518,-3.0,True
0.022,0.5235987755982988,0.32865850017649756,0.3316698094990559,0.34637202983737325,-2.4382988749531562,-1.3332971712631814,-1.1540619717392284,3.3082536911721685,0.3496916046815468,3.8198710233592648,-0.017713529660875693,-5.746552566125325,-0.02103310450504925,-6.2581698983124205,0.3496916046815468,-0.01802179518249092,-2.468676020813777,-2.468676020813777,False
0.023,0.5235987755982988,0.32616566278558234,0.32845579521807194,0.3426134817226699,-2.4928373909151964,-3.2140142809839456,-1.3600572026637001,2.8612425771567267,0.34637202983737325,3.3082536911721685,-0.016447818937087577,-5.3540799680719235,-0.020206367051790908,-5.801091082087365,0.34637202983737325,-0.017916234619301308,-1.2734807052489518,-1.2734807052489518,False
0.024,0.5235987755982988,0.323672761350049,0.32603586892336395,0.3389610135959806,-2.4929014355333408,-2.419926294707997,-1.4660441118681298,2.4977780585802165,0.3426134817226699,2.8612425771567267,-0.015288252245931555,-4.990679494113557,-0.0189407203726209,-5.3541440126900675,0.3426134817226699,-0.016577612799305974,-0.20133330022644635,-0.20133330022644635,False
0.025,0.5235987755982988,0.32122488963209134,0.32423286947112334,0.3356938165584802,-2.4478717179576703,-1.8029994522406056,-1.4997396459053773,2.2189102912178487,0.3389610135959806,2.4977780585802165,-0.014468926926388848,-4.6667820091755186,-0.01773612396388924,-4.945649776537887,0.3389610135959806,-0.014728144124857234,0.689804488218801,0.689804488218801,False
0.026000000000000002,0.5235987755982988,0.3188572268713376,0.32281716250142095,0.33289224962058367,-2.3676627607537144,-1.4157069697023905,-1.4913363782850786,2.0146264195861923,0.3356938165584802,2.2189102912178487,-0.014035022749246062,-4.382289180339907,-0.016836589687142578,-4.586573051971563,0.3356938165584802,-0.012876654057059234,1.388630571796452,1.388630571796452,False
0.027,0.5235987755982988,0.3165960227861992,0.31823485234573623,0.32920155913737364,-2.2612040851384356,-4.582310155684721,-1.8004337560250427,1.8009870601715074,0.33289224962058367,2.0146264195861923,-0.012605536351174451,-4.062191145309943,-0.016296226834384475,-4.2758305047246274,0.33289224962058367,-0.014657397274847439,1.9138148373193244,1.9138148373193244,False
0.028,0.5235987755982988,0.3144698882899399,0.3177725551808115,0.32657855103815947,-2.126134496259301,-0.46229716492474093,-1.6666200969150127,1.68374217549982,0.32920155913737364,1.8009870601715074,-0.01210866274821959,-3.8098766717591213,-0.014731670847433764,-3.9271215564308086,0.32920155913737364,-0.011429003956562156,2.4877677591684955,2.4877677591684955,False
0.029,0.5235987755982988,0.3124951960812399,0.31339649965137617,0.3231593253918211,-1.9746922087000105,-4.376055529435319,-1.9375636401670433,1.5477252660345715,0.32657855103815947,1.68374217549982,-0.010664129310581194,-3.522417474734582,-0.014083354956919591,-3.658434384199831,0.32657855103815947,-0.0131820513867833,2.822165310480419,2.822165310480419,False
0.03,0.5235987755982988,0.31068032994644906,0.3126478928629465,0.32065644296639334,-1.814866134790809,-0.7486067884296954,-1.8186679549933085,1.476287488023866,0.3231593253918211,1.5477252660345715,-0.009976113019944277,-3.291153622814675,-0.01247899544537201,-3.3625914008253805,0.3231593253918211,-0.010511432528874598,3.222326418584825,3.0,True
0.031,0.5235987755982988,0.30902464080342934,0.30965972290571114,0.3178919061907332,-1.655689143019738,-2.9881699572353315,-1.935618155217511,1.395136406747489,0.32065644296639334,1.476287488023866,-0.008867265387303869,-3.050825549767227,-0.011631802162964,-3.131976631043604,0.32065644296639334,-0.010996720060682197,3.4554665876278086,3.0,True
0.032,0.5235987755982988,0.30752748220608067,0.3102040105545605,0.3163443197479995,-1.4971585973486858,0.5442876488493398,-1.6876275748108258,1.3825163279606072,0.3178919061907332,1.395136406747489,-0.00881683754191881,-2.879674925309293,-0.010364423984652538,-2.892295004096175,0.3178919061907332,-0.007687895636172726,3.7177510952286896,3.0,True
0.033,0.5235987755982988,0.3061882103336357,0.30825521730612226,0.31462675932856315,-1.3392718724449608,-1.9487932484382187,-1.713744142173565,1.3616776486477644,0.3163443197479995,1.3825163279606072,-0.008438548994927464,-2.700949521092725,-0.01015610941436379,-2.721788200405568,0.3163443197479995,-0.008089102441877216,3.794849749373318,3.0,True
0.034,0.5235987755982988,0.3050061839799979,0.3071810555260074,0.3131407854179104,-1.182026353637815,-1.0741617801148795,-1.6497859059676965,1.3541852792137647,0.31462675932856315,1.3616776486477644,-0.008134601437912503,-2.53621163285158,-0.009620575348565252,-2.5437040022855797,0.31462675932856315,-0.00744570380255577,3.8949375690846217,3.0,True
0.035,0.5235987755982988,0.3039807645431228,0.30423341052086966,0.31107397154836774,-1.0254194368751437,-2.9476450051377223,-1.7795718158846991,1.3165950406290183,0.3131407854179104,1.3541852792137647,-0.007093207005244961,-2.3420144775041623,-0.009160020874787622,-2.3796047160889087,0.3131407854179104,-0.008907374897040743,3.9591365672423873,3.0,True
0.036000000000000004,0.5235987755982988,0.3031113160144424,0.3045781514984119,0.3099156128414087,-0.8694485286803614,0.3447409775422239,-1.5671405365420068,1.3288645682394455,0.31107397154836774,1.3165950406290183,-0.006804296826966316,-2.198313096919807,-0.007962655533925334,-2.18604356930938,0.31107397154836774,-0.006495820049955858,4.10617314094236,3.0,True
0.037,0.5235987755982988,0.30239720496833294,0.3026583914410792,0.3084708274874612,-0.7141110461094525,-1.9197600573326867,-1.6024024886210748,1.3253902225171639,0.3099156128414087,1.3288645682394455,-0.006073622519128241,-2.0395012686266165,-0.007518407873075783,-2.042975614348898,0.3099156128414087,-0.007257221400329528,4.117728418566001,3.0,True
0.038,0.5235987755982988,0.30183780055162474,0.30199806098683996,0.30733028923352285,-0.5594044167081973,-0.6603304542392441,-1.5081952851828917,1.3380992877886446,0.3084708274874612,1.3253902225171639,-0.005492488681898111,-1.897503704496842,-0.00663302693583645,-1.8847946392253612,0.3084708274874612,-0.00647276650062123,4.172049719476023,3.0,True
0.039,0.5235987755982988,0.3014324744731552,0.3022798375425719,0.3067603589526219,-0.40532607846957014,0.2817765557319718,-1.3291981010914053,1.3800738602109552,0.30733028923352285,1.3380992877886446,-0.0053278844794666935,-1.7853999386805253,-0.005897814760367659,-1.7434253662582146,0.30733028923352285,-0.005050451690950919,4.182091899621375,3.0,True
0.04,0.5235987755982988,0.30118060099336386,0.3021975554092375,0.30642360555065795,-0.25187347979131225,-0.08228213333444367,-1.2045065043157093,1.431929806028821,0.3067603589526219,1.3800738602109552,-0.005243004557294095,-1.6838032858201333,-0.005579757959258025,-1.6319473400022675,0.3067603589526219,-0.004562803543384397,4.111397950715586,3.0,True
0.041,0.5235987755982988,0.3010815569139302,0.30135899128418686,0.3059417600281631,-0.0990440794336758,-0.8385641250506226,-1.1679122663892005,1.4732321671183095,0.30642360555065795,1.431929806028821,-0.004860203114232908,-1.5722762465519853,-0.00534204863672777,-1.5309738854624968,0.30642360555065795,-0.00506461426647109,4.012127616855243,3.0,True
0.042,0.5235987755982988,0.30113472156745286,0.3005335347852957,0.3053663464652028,0.05316465352266003,-0.8254564988911528,-1.1336666896393959,1.5072845590290211,0.3059417600281631,1.4732321671183095,-0.004231624897749919,-1.4541199055063612,-0.0048070384607102334,-1.4200675135956495,0.3059417600281631,-0.005408225242867382,3.9400006955722775,3.0,True
0.043000000000000003,0.5235987755982988,0.3013394768071714,0.3004140607021142,0.30500376545698926,0.20475523971850215,-0.11947408318152553,-1.0322474289936088,1.5505968475453353,0.3053663464652028,1.5072845590290211,-0.0036642886498178817,-1.3458416078268332,-0.004026869658031396,-1.302529319310519,0.3053663464652028,-0.004952285763088593,3.8863220631093482,3.0,True
0.044,0.5235987755982988,0.30169520699672925,0.3025998811843345,0.3056840582641229,0.3557301895578865,2.185820482220324,-0.7104406378722155,1.6462617173153604,0.30500376545698926,1.5505968475453353,-0.003988851267393678,-1.2905315277574738,-0.0033085584602600138,-1.1948666579874487,0.30500376545698926,-0.002403884272654755,3.8060488160865984,3.0,True
0.045,0.5235987755982988,0.3022012989999789,0.3022135225827635,0.306041411662178,0.5060920032496512,-0.3863586015709908,-0.678032434242093,1.7195528464857137,0.3056840582641229,1.6462617173153604,-0.0038401126621991355,-1.2134608432360625,-0.003482759264144042,-1.1401697140657092,0.3056840582641229,-0.00347053568135941,3.580629338557251,3.0,True
0.046,0.5235987755982988,0.3028571421708277,0.30282938011044186,0.30657330975451175,0.6558431708488413,0.6158575276783429,-0.5486434380500494,1.7978752659108868,0.306041411662178,1.7195528464857137,-0.003716167583684038,-1.1420320950620455,-0.003184269491350311,-1.0637096756368725,0.306041411662178,-0.003212031551736161,3.413252684391337,3.0,True
0.047,0.5235987755982988,0.30366212834312567,0.30476259503425746,0.307733059343217,0.8049861722979448,1.933214923815596,-0.30045760186348497,1.9047644511144037,0.30657330975451175,1.7978752659108868,-0.004070931000091316,-1.099778278816459,-0.0029111814113860768,-0.992889093612942,0.30657330975451175,-0.0018107147202542917,3.229512432852325,3.0,True
0.048,0.5235987755982988,0.30461386361159276,0.3029501536081896,0.30783270120463213,0.9517352684671051,-1.8124414260678456,-0.45165598428392106,1.948172486161396,0.307733059343217,1.9047644511144037,-0.0032188375930393698,-0.9964372176942909,-0.0031191957316242247,-0.9530291826472986,0.307733059343217,-0.004782905735027376,2.9646614137250626,2.9646614137250626,False
0.049,0.5235987755982988,0.30570691984333404,0.3068474118939941,0.30946292323489144,1.0930562317412718,3.8972582858045057,-0.01676455727507853,2.0648594041415946,0.30783270120463213,1.948172486161396,-0.0037560033915574054,-0.9718031724003229,-0.002125781361298096,-0.8551162544201243,0.30783270120463213,-0.0009852893106380156,2.8691682936654432,2.8691682936654432,False
0.05,0.5235987755982988,0.30692549394485663,0.308456605911241,0.31119374271717676,1.2185741015226184,1.6091940172469066,0.14583130017711995,2.165441681893261,0.30946292323489144,2.0648594041415946,-0.004268248772320127,-0.9468675803706426,-0.0025374292900348094,-0.8462853026189763,0.30946292323489144,-0.0010063173236504186,2.568209556609829,2.568209556609829,False
0.051000000000000004,0.5235987755982988,0.30825541361424513,0.30833782582515734,0.312292584830639,1.3299196693884971,-0.11878008608368074,0.11937016155103988,2.2138571706146006,0.31119374271717676,2.165441681893261,-0.004037171216393853,-0.8839375012261035,-0.002938329102931625,-0.8355220125047638,0.31119374271717676,-0.0028559168920194167,2.2982102138313962,2.2982102138313962,False
0.052000000000000005,0.5235987755982988,0.30968921335383714,0.3089772002262646,0.31325600912551543,1.4337997395920246,0.6393744011072844,0.17137058550666434,2.2456067189498308,0.312292584830639,2.2138571706146006,-0.0035667957716782883,-0.8118069793578062,-0.0026033714768018412,-0.7800574310225761,0.312292584830639,-0.0033153846043743607,2.159613310268223,2.159613310268223,False
0.053,0.5235987755982988,0.3112214729548501,0.3091099194158441,0.313922766049786,1.5322596010129432,0.1327191895794666,0.16750544591394456,2.2551167432255395,0.31325600912551543,2.2456067189498308,-0.002701293094935886,-0.7228571422125962,-0.0020345361706653464,-0.7133471179368875,0.31325600912551543,-0.004146089709671341,2.0608362471006316,2.0608362471006316,False
0.054,0.5235987755982988,0.3128496736897148,0.31208932538331136,0.3155051275777578,1.6282007348647043,2.9794059674672635,0.44869549806927644,2.3101424064688283,0.313922766049786,2.2551167432255395,-0.0026554538880430023,-0.681941671604124,-0.0010730923600711928,-0.6269160083608352,0.313922766049786,-0.0018334406664746172,2.0189632459769973,2.0189632459769973,False
0.055,0.5235987755982988,0.31456490685260047,0.3124633519109855,0.31666416157453253,1.7152331628856696,0.3740265276741539,0.4412286010297642,2.3315368325869192,0.3155051275777578,2.3101424064688283,-0.0020992547219320645,-0.6163036697012496,-0.0009402207251573147,-0.5949092435831587,0.3155051275777578,-0.003041775666772273,1.8506093489283533,1.8506093489283533,False
0.056,0.5235987755982988,0.3163626127381693,0.3145460129742259,0.3182047531370945,1.7977058855688386,2.0826610632403986,0.6053718472508276,2.367684798931964,0.31666416157453253,2.3315368325869192,-0.0018421403989252183,-0.5699789133631252,-0.00030154883636324126,-0.5338309470180806,0.31666416157453253,-0.002118148600306624,1.7674854136184983,1.7674854136184983,False
0.057,0.5235987755982988,0.31823603622324903,0.3161091619780453,0.31978706211181906,1.8734234850797273,1.5631490038193752,0.7011495629076824,2.397744050168073,0.3182047531370945,2.367684798931964,-0.0015510258885700345,-0.5243205650883458,3.128308615452102e-05,-0.4942613138522365,0.3182047531370945,-0.002095591159049226,1.64060968279228,1.64060968279228,False
0.058,0.5235987755982988,0.3201790358540984,0.31848372458607704,0.32170722992409223,1.9429996308493822,2.3745626080317606,0.8684908674200902,2.438189430841975,0.31978706211181906,2.397744050168073,-0.0015281940699938268,-0.4951897999925927,0.000391973742279339,-0.4547444193186909,0.31978706211181906,-0.001303337525742021,1.5253191413419618,1.5253191413419618,False
