time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_raw_rad_s,dq_filtered_rad_s,dq_hat_rad_s,q_control_estimate_rad,dq_control_estimate_rad_s,q_estimation_error_rad,dq_estimation_error_rad_s,q_control_estimation_error_rad,dq_control_estimation_error_rad_s,y_hat_rad,innovation_rad,torque_unsat_nm,torque_cmd_nm,saturated
0.001,0.5235987755982988,0.34968106263602655,0.3483737204707123,0.13673070646743846,0.6152122371606735,0.0,0.0,7.33224230104661,0.0,0.0,0.2129503561685881,-6.717030063885936,0.34968106263602655,0.6152122371606735,0.0,0.3483737204707123,17.010319405344383,3.0,True
0.002,0.5235987755982988,0.3501775787318547,0.3498910006852011,0.22758765643674025,0.4965160958281315,1.5172802144888253,0.1517280214488825,11.544725947046645,0.13673070646743846,7.33224230104661,0.12258992229511442,-11.048209851218514,0.21344687226441622,-6.835726205218478,0.13673070646743846,0.21316029421776267,-3.0150654504746157,-3.0,True
0.003,0.5235987755982988,0.35055576949108874,0.3485227218072132,0.28647179499918884,0.3781907592340902,-1.3682788779879052,-0.00027266849479623545,13.839173142015275,0.22758765643674025,11.544725947046645,0.0640839744918999,-13.460982382781184,0.12296811305434849,-11.166535187812554,0.22758765643674025,0.12093506537047297,-14.919645383815105,-3.0,True
0.004,0.5235987755982988,0.35081600456007955,0.35177381008846814,0.3258228153915965,0.26023506899081633,3.2510882812549213,0.32486342648017547,14.977602338866761,0.28647179499918884,13.839173142015275,0.024993189168483032,-14.717367269875945,0.06434420956089071,-13.578938073024458,0.28647179499918884,0.0653020150892793,-21.70907065244219,-3.0,True
0.005,0.5235987755982988,0.3509586524304089,0.35137302180144764,0.3507167031058547,0.14264787032936055,-0.40078828702050373,0.25229825513010756,15.292045905201647,0.3258228153915965,14.977602338866761,0.0002419493245542359,-15.149398034872286,0.025135837038812392,-14.8349544685374,0.3258228153915965,0.025550206409851117,-25.407007595314482,-3.0,True
0.006,0.5235987755982988,0.3509840804424972,0.35070379292094656,0.36589687432612417,0.02542801208825199,-0.6692288805010826,0.16014554156698857,15.07830335639914,0.3507167031058547,15.292045905201647,-0.014912793883626985,-15.052875344310888,0.00026737733664250474,-15.266617893113395,0.3507167031058547,-1.2910184908121458e-05,-26.884036839470426,-3.0,True
0.007,0.5235987755982988,0.3508926547891994,0.35071185329868204,0.3749122445240577,-0.09142565329777119,0.008060377735485957,0.1449370251838383,14.552696735387899,0.36589687432612417,15.07830335639914,-0.024019589734858293,-14.64412238868567,-0.015004219536924768,-15.16972900969691,0.36589687432612417,-0.015185021027442125,-26.922928273297302,-3.0,True
0.008,0.5235987755982988,0.3506847405193904,0.3511578011667868,0.38004158732379356,-0.20791426980899635,0.44594786810475684,0.17503810947593015,13.852585847757311,0.3749122445240577,14.552696735387899,-0.029356846804403147,-14.060500117566308,-0.024227504004667277,-14.760611005196896,0.3749122445240577,-0.023754443357270894,-26.0987304934281,-3.0,True
0.009000000000000001,0.5235987755982988,0.3503607015415385,0.350451162841873,0.38218298633396797,-0.3240389778519358,-0.7066383249137997,0.08687046603695718,13.035020145622392,0.38004158732379356,13.852585847757311,-0.03182228479242949,-13.359059123474328,-0.029680885782255084,-14.176624825609247,0.38004158732379356,-0.029590424481920563,-24.777408467388454,-3.0,True
0.01,0.5235987755982988,0.349920900627268,0.350163558869702,0.3825556640655675,-0.4398009142704911,-0.28760397217098,0.049423022216163466,12.170700931027891,0.38218298633396797,13.035020145622392,-0.03263476343829952,-12.610501845298382,-0.03226208570669997,-13.474821059892882,0.38218298633396797,-0.03201942746426595,-23.109386940225047,-3.0,True
0.011,0.5235987755982988,0.3493656994149109,0.35054927834210886,0.38207089110795434,-0.5552012123570829,0.38571947240684246,0.08305266723523136,11.310153571363996,0.3825556640655675,12.170700931027891,-0.03270519169304342,-11.865354783721079,-0.0331899646506566,-12.725902143384975,0.3825556640655675,-0.03200638572345865,-21.284538166327454,-3.0,True
0.012,0.5235987755982988,0.34869545841304717,0.3498148644408063,0.3806293903774349,-0.6702410018637451,-0.7344139013025774,0.0013060103814504925,10.44794831537882,0.38207089110795434,11.310153571363996,-0.03193393196438771,-11.118189317242566,-0.03337543269490717,-11.980394573227741,0.38207089110795434,-0.03225602666714805,-19.4398495238596,-3.0,True
0.013000000000000001,0.5235987755982988,0.34791053700403396,0.348639496232081,0.37843182734896624,-0.7849214090131859,-1.1753682087252693,-0.11636141152922146,9.594723100620257,0.3806293903774349,10.44794831537882,-0.030521290344932284,-10.379644509633444,-0.032718853373400913,-11.232869724392007,0.3806293903774349,-0.03198989414535386,-17.560555800512326,-3.0,True
0.014,0.5235987755982988,0.3470112934475241,0.3478359446309898,0.3759295915587807,-0.8992435565098122,-0.8035516010911903,-0.18508043048541833,8.773689580376356,0.37843182734896624,9.594723100620257,-0.02891829811125657,-9.672933136886169,-0.031420533901442116,-10.49396665713007,0.37843182734896624,-0.03059588271797642,-15.6757851148928,-3.0,True
0.015,0.5235987755982988,0.3459980848839734,0.34715171943005996,0.3733211295605244,-1.0132085635507218,-0.6842252009298666,-0.23499490752986313,7.993456832804681,0.3759295915587807,8.773689580376356,-0.027323044676551,-9.006665396355404,-0.029931506674807318,-9.786898143927077,0.3759295915587807,-0.02877787212872074,-13.849534124084155,-3.0,True
0.016,0.5235987755982988,0.3448712673381367,0.34546225275136516,0.3702945069364024,-1.1268175458366594,-1.6894666786947954,-0.3804420846463563,7.235328825483882,0.3733211295605244,7.993456832804681,-0.0254232395982657,-8.362146371320542,-0.028449862222387656,-9.12027437864134,0.3733211295605244,-0.027858876809159216,-12.106546881730335,-3.0,True
0.017,0.5235987755982988,0.3436311957225538,0.3445189287644342,0.3673284993380779,-1.2400716155829397,-0.9433239869309773,-0.4367302748748184,6.5232148047771075,0.3702945069364024,7.235328825483882,-0.02369730361552408,-7.763286420360047,-0.02666331121384863,-8.475400441066821,0.3702945069364024,-0.02577557817196824,-10.396954398791205,-3.0,True
0.018000000000000002,0.5235987755982988,0.34227822384102347,0.3441096429876628,0.3646547349085807,-1.3529718815303353,-0.40928577677140643,-0.43398582506447725,5.866686564990147,0.3673284993380779,6.5232148047771075,-0.022376511067557225,-7.219658446520482,-0.02505027549705441,-7.876186686307443,0.3673284993380779,-0.023218856350415096,-8.787125643214265,-3.0,True
0.019,0.5235987755982988,0.3408127043920675,0.3421643561231481,0.361611530012343,-1.4655194489559316,-1.9452868645146726,-0.5851159290094967,5.2278347109458805,0.3646547349085807,5.866686564990147,-0.020798825620275463,-6.693354159901812,-0.02384203051651318,-7.332206013946078,0.3646547349085807,-0.022490378785432585,-7.304928730633035,-3.0,True
0.02,0.5235987755982988,0.3392349889723836,0.3396132912875099,0.3581238181990415,-1.5777154196839467,-2.551064835638217,-0.7817108196723688,4.601716168858845,0.361611530012343,5.2278347109458805,-0.01888882922665791,-6.1794315885427915,-0.022376541039959397,-6.805550130629827,0.361611530012343,-0.021998238724833086,-5.848297688372076,-3.0,True
0.021,0.5235987755982988,0.33754542808028704,0.3388184847170185,0.3550675906721617,-1.6895608920965188,-0.7948065704914131,-0.7830203947542732,4.033641910853468,0.3581238181990415,4.601716168858845,-0.017522162591874668,-5.723202802949986,-0.020578390118754453,-6.291277060955363,0.3581238181990415,-0.019305333482023013,-4.404288188649674,-3.0,True
0.022,0.5235987755982988,0.33574437111914257,0.3381184385278922,0.35236868892302675,-1.801056961144459,-0.7000461891262799,-0.7747229741914738,3.516436071288192,0.3550675906721617,4.033641910853468,-0.01662431780388418,-5.317493032432651,-0.019323219553019133,-5.834698871997927,0.3550675906721617,-0.016949152144269508,-3.0976592114906003,-3.0,True
0.023,0.5235987755982988,0.33387456515653513,0.33554166616071696,0.34922905918103353,-1.8698059626074668,-2.5767723671752396,-0.9549279134898503,3.05885040178826,0.35236868892302675,3.516436071288192,-0.0153544940244984,-4.928656364395727,-0.01849412376649162,-5.386242033895659,0.35236868892302675,-0.016827022762309796,-1.9107505255161232,-1.9107505255161232,False
