time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_raw_rad_s,dq_filtered_rad_s,dq_hat_rad_s,q_control_estimate_rad,dq_control_estimate_rad_s,q_estimation_error_rad,dq_estimation_error_rad_s,q_control_estimation_error_rad,dq_control_estimation_error_rad_s,y_hat_rad,innovation_rad,torque_unsat_nm,torque_cmd_nm,saturated
0.001,0.5235987755982988,0.3497156263071748,0.3490658503988659,0.13700220498934645,0.6497759083088757,0.0,0.0,7.3465086113048095,0.0,0.0,0.21271342131782833,-6.696732702995934,0.3497156263071748,0.6497759083088757,0.0,0.3490658503988659,17.010319405344383,3.0,True
0.002,0.5235987755982988,0.35021095686252984,0.3497156263071748,0.22769809962757492,0.4953305553550681,0.6497759083088916,0.06497759083088915,11.5497234097963,0.13700220498934645,7.3465086113048095,0.12251285723495492,-11.054392854441232,0.2132087518731834,-6.851178055949742,0.13700220498934645,0.21271342131782833,-3.054206202692111,-3.0,True
0.003,0.5235987755982988,0.35055246929500355,0.35021095686252984,0.28720613844481857,0.34151243247372354,0.49533055535505577,0.1080128872833058,13.87667208844541,0.22769809962757492,11.5497234097963,0.06334633085018498,-13.535159655971686,0.12285436966742863,-11.208210977322576,0.22769809962757492,0.12251285723495492,-14.933854601006747,-3.0,True
0.004,0.5235987755982988,0.3507407882873754,0.35055246929500355,0.3258274347673432,0.18831899237185915,0.34151243247371177,0.1313628418023464,14.974638378500508,0.28720613844481857,13.87667208844541,0.02491335352003221,-14.786319386128648,0.06353464984255686,-13.68835309607355,0.28720613844481857,0.06334633085018498,-21.812624811918532,-3.0,True
0.005,0.5235987755982988,0.3507765359854769,0.3507407882873754,0.35046854927124316,0.03574769810150247,0.188318992371872,0.13705845685929896,15.275967027889582,0.3258274347673432,14.974638378500508,0.00030798671423376556,-15.24021932978808,0.024949101218133707,-14.938890680399005,0.3258274347673432,0.02491335352003221,-25.400858298214022,-3.0,True
0.006,0.5235987755982988,0.3506603320084946,0.3507765359854769,0.3657585509232138,-0.11620397698232168,0.03574769810149592,0.12692738098351866,15.068904032167346,0.35046854927124316,15.275967027889582,-0.015098218914719186,-15.185108009149667,0.00019178273725145578,-15.392171004871903,0.35046854927124316,0.00030798671423376556,-26.841802206065196,-3.0,True
0.007,0.5235987755982988,0.3503927934592312,0.3506603320084946,0.3747985903100437,-0.2675385492634334,-0.11620397698230978,0.10261424518693582,14.54512468730035,0.3657585509232138,15.068904032167346,-0.02440579685081251,-14.812663236563782,-0.01536575746398261,-15.336442581430779,0.3657585509232138,-0.015098218914719186,-26.898457932663163,-3.0,True
0.008,0.5235987755982988,0.349974534934325,0.3503927934592312,0.3796648730731791,-0.4182585249061702,-0.26753854926342413,0.06559896574189983,13.831618669909547,0.3747985903100437,14.54512468730035,-0.029690338138854078,-14.249877194815717,-0.02482405537571869,-14.96338321220652,0.3747985903100437,-0.02440579685081251,-26.07894513754183,-3.0,True
0.009000000000000001,0.5235987755982988,0.34940616853442813,0.349974534934325,0.3817461547676573,-0.5683663998968901,-0.41825852490617876,0.017213216677091976,13.012078507742425,0.3796648730731791,13.831618669909547,-0.032339986233229145,-13.580444907639315,-0.030258704538750958,-14.399985069806437,0.3796648730731791,-0.029690338138854078,-24.72060804153743,-3.0,True
0.01,0.5235987755982988,0.3486883038743428,0.34940616853442813,0.3819701933165601,-0.717864660085306,-0.5683663998968802,-0.04134474498030523,12.141244857577313,0.3817461547676573,13.012078507742425,-0.03328188944221733,-12.859109517662619,-0.03305785089331448,-13.72994316782773,0.3817461547676573,-0.032339986233229145,-23.046437102035284,-3.0,True
