time,actual_dt,position,velocity,position_measured,velocity_estimated,torque_command,torque_applied,load_torque,saturated,safety_fault,target,target_velocity
0.0,0.001,0.0,0.0,0.00026591581643884907,0.0,-0.004786484695899283,-0.004786484695899283,0.0,False,False,0.0,0.0
0.001,0.001,-2.3932423479496415e-07,-0.00023932423479496414,-0.0009077966653501528,-0.11737124817890017,0.16311310273983415,0.16311310273983415,0.0,False,False,2.4523239528998453e-06,0.004902602598082509
0.002,0.001,7.74975780808665e-06,0.007989082042881616,0.0006626419699256537,0.05140974016657045,-0.06169130357625883,-0.06169130357625883,0.0,False,False,9.801114580730656e-06,0.009792933349861933
0.003,0.001,1.0345427699852966e-05,0.0025956698917663154,0.0008311429841555211,0.06311886757290014,-0.0727014102952042,-0.0727014102952042,0.0,False,False,2.203410003718935e-05,0.014670992255338269
0.004,0.001,8.521286255204462e-06,-0.0018241414446485043,-0.0016940781069587035,-0.19571512829581222,0.2895001972102127,0.2895001972102127,0.0,False,False,3.913900847597284e-05,0.01953677931451152
0.005,0.001,2.1725181248590826e-05,0.013203894993386363,-0.0011146408110885866,-0.11819988587921931,0.19227161531242978,0.19227161531242978,0.0,False,False,6.110356805077802e-05,0.02439029452738169
0.006,0.001,4.101888340646929e-05,0.01929370215787847,0.00015258068102377514,0.020342251919938756,0.009503170034859502,0.009503170034859502,0.0,False,False,8.791550691530186e-05,0.029231537893948775
0.007,0.001,5.6232412906582616e-05,0.015213529500113322,-0.00021974131066530337,-0.01892417244096296,0.06968908777620468,0.06968908777620468,0.0,False,False,0.0001195625532232412,0.03406050941421277
0.008,0.001,7.102069120192333e-05,0.014788278295340709,5.6358915372123686e-05,0.010578267406876035,0.03575285337316822,0.03575285337316822,0.0,False,False,0.00015603243512829306,0.03887720908817368
0.009000000000000001,0.001,8.376471346078617e-05,0.012744022258862847,-0.0006606565465543646,-0.062181105526460376,0.1424787406228436,0.1424787406228436,0.0,False,False,0.00019731288078415427,0.04368163691583151
0.01,0.001,0.00010020375180211776,0.016439038341331584,0.0008676232566384521,0.0968649853454673,-0.06930560042722798,-0.06930560042722798,0.0,False,False,0.00024339161834452166,0.04847379289718626
0.011,0.001,0.00010905496877175714,0.008851216969639381,0.0007878064772064713,0.07919680886772248,-0.040015660024962305,-0.040015660024962305,0.0,False,False,0.0002942563759630923,0.05325367703223791
0.012,0.001,0.00011337540862641353,0.004320439854656388,0.00017099806261800402,0.009596286522103509,0.06133014610381963,0.06133014610381963,0.0,False,False,0.0003498948817935632,0.05802128932098648
0.013000000000000001,0.001,0.00011946873425664022,0.00609332563022669,0.0011031722605439912,0.10185407766249187,-0.05936473061685036,-0.05936473061685036,0.0,False,False,0.00041029486398963105,0.06277662976343197
0.014,0.001,0.00012079598762565937,0.0013272533690191534,0.0005287748529322212,0.03422892913506571,0.03898896862932027,0.03898896862932027,0.0,False,False,0.0004754440507049927,0.06751969835957436
0.015,0.001,0.00012366978789698184,0.002873800271322477,-0.0006262043478472018,-0.08469188385638314,0.20941847608188605,0.20941847608188605,0.0,False,False,0.0005453301700933455,0.07225049510941368
0.016,0.001,0.00013614676157670276,0.012476973679720924,0.0004579425266542179,0.03219199197939711,0.0566484052660384,0.0566484052660384,0.0,False,False,0.0006199409503083858,0.07696902001294992
0.017,0.001,0.00014808343550440708,0.011936673927704318,-0.00068869949072322,-0.08569140895628637,0.22582336341584985,0.22582336341584985,0.0,False,False,0.000699264119503811,0.08167527307018307
0.018000000000000002,0.001,0.00016805477491405412,0.019971339409647033,0.0009346472785614618,0.08521240886781041,-0.0013362632131433212,-0.0013362632131433212,0.0,False,False,0.0007832874058333176,0.08636925428111314
