time,actual_dt,position,velocity,position_measured,velocity_estimated,torque_command,torque_applied,load_torque,saturated,safety_fault,target,target_velocity
0.0,0.005,0.0,0.0,0.00026591581643884907,0.0,-0.004786484695899283,0.0,0.0,False,False,0.0,0.0
0.005,0.005,0.0,0.0,-0.0009075573411153578,-0.02346946315108413,0.07486760557914943,-0.004786484695899283,0.0,False,False,6.110356805077802e-05,0.02439029452738169
0.01,0.005,-5.9831058698741045e-06,-0.0011966211739748208,0.0006489091062476931,0.010006812111285297,0.038861062160824064,0.07486760557914943,0.0,False,False,0.00024339161834452166,0.04847379289718626
0.015,0.005,9.07019224401657e-05,0.01933700566200796,0.0009114994788958338,0.01425793835311958,0.06300002054910812,0.038861062160824064,0.0,False,False,0.0005453301700933455,0.07225049510941368
0.02,0.005,0.00012193204254481618,0.0062460240209300955,-0.0015806673506690919,-0.03701119207349088,0.20510685856227803,0.06300002054910812,0.0,False,False,0.0009653852425093633,0.095720401164064
0.025,0.005,0.00018590821551973081,0.012795234594982928,-0.0009504577768174466,-0.02070588138910889,0.21165192230949373,0.20510685856227803,0.0,False,False,0.0015020228548046901,0.11888351106113718
0.03,0.005,0.00042027784390742825,0.04687392567753948,0.000531839641524734,0.011010655116645604,0.18606865254478583,0.21165192230949373,0.0,False,False,0.0021537090261914403,0.1417398248006332
0.035,0.005,0.00076726296527868,0.06939702427425035,0.000491289241706794,0.009098581608622244,0.22992608254386468,0.18606865254478583,0.0,False,False,0.0029189097758817277,0.16428934238255216
0.04,0.005,0.0011901844860757152,0.08458430415940701,0.0011755227102459155,0.021873392818542448,0.2447606366171733,0.22992608254386468,0.0,False,False,0.0037960911230876656,0.18653206380689394
0.045,0.005,0.001742118797560699,0.11038686229699678,0.0009976975375455483,0.016129550082680858,0.2989545146797381,0.2447606366171733,0.0,False,False,0.0047837190870213715,0.2084679890736586
0.05,0.005,0.0024389700388840244,0.13937024826466507,0.0032063895437203587,0.05869043519790897,0.25381768215906736,0.2989545146797381,0.0,False,False,0.005880259686894957,0.23009711818284614
0.055,0.005,0.003345577664403846,0.1813215251039643,0.00402432917283856,0.06918018426048211,0.2737644160922449,0.25381768215906736,0.0,False,False,0.007084178941920536,0.2514194511344566
0.06,0.005,0.004401325244115491,0.21114951594232906,0.004458947898107081,0.07095454033980432,0.3126064466240792,0.2737644160922449,0.0,False,False,0.008393942871310229,0.2724349879284898
0.065,0.005,0.005628163392550985,0.2453676296870987,0.006611866918838336,0.10691746672044897,0.281002224571277,0.3126064466240792,0.0,False,False,0.009808017494276141,0.293143728564946
0.07,0.005,0.007071222836304489,0.28861188875070076,0.00747920170161105,0.11357241570385834,0.3091899171195082,0.281002224571277,0.0,False,False,0.011324868830030395,0.313545673043825
0.075,0.005,0.008686673871897106,0.32309020711852354,0.007936799736152921,0.11136713482430993,0.35683936075835937,0.3091899171195082,0.0,False,False,0.012942962897785093,0.33364082136512685
0.08,0.005,0.01050630328317726,0.3639258822560307,0.010828099048254774,0.15805640758391598,0.3034353191668795,0.35683936075835937,0.0,False,False,0.014660765716752365,0.3534291735288517
0.085,0.005,0.012585589307179759,0.4158572048004999,0.011748806380952131,0.16066491347947154,0.3397978439200926,0.3034353191668795,0.0,False,False,0.016476743306144317,0.37291072953499926
0.09,0.005,0.014852583759660807,0.4533988904962098,0.015619176263308216,0.22200581977864603,0.2539589411194758,0.3397978439200926,0.0,False,False,0.018389361685173064,0.3920854893835698
0.095,0.005,0.01734898562799235,0.49928037366630873,0.017305417051553963,0.23353005356569637,0.26855813619758184,0.2539589411194758,0.0,False,False,0.020397086873050724,0.41095345307456316
0.1,0.005,0.01996290813535661,0.5227845014728515,0.019801585290012434,0.2601004129782961,0.2518394419372054,0.26855813619758184,0.0,False,False,0.022498384888989403,0.42951462060797946
0.105,0.005,0.02271024986282056,0.5494683454927899,0.022116026736622874,0.2803792006126753,0.247230259925782,0.2518394419372054,0.0,False,False,0.02469172175220121,0.4477689919838186
