time,actual_dt,position,velocity,position_measured,velocity_estimated,torque_command,torque_applied,load_torque,saturated,safety_fault,target,target_velocity
3.0420000000000003,0.001,0.5224026675914384,-0.003249146268276589,0.5216261671258628,-0.08071299971201187,0.13236255215826165,0.04084146856304122,0.0,False,False,0.5235987755982988,0.0
3.043,0.001,0.5224024397733658,-0.00022781807258217667,0.5219728731517501,-0.03797109715208403,0.07483156062037742,0.13236255215826165,0.0,False,False,0.5235987755982988,0.0
3.044,0.001,0.5224088993366393,0.006459563273548627,0.522584174286193,0.026956126007409785,-0.01408452759098653,0.07483156062037742,0.0,False,False,0.5235987755982988,0.0
3.045,0.001,0.5224172014558593,0.0083021192200392,0.5220912490032048,-0.025032014892147764,0.05717389658226951,-0.01408452759098653,0.0,False,False,0.5235987755982988,0.0
3.0460000000000003,0.001,0.5224224093433699,0.005207887510580123,0.5228459163513794,0.05293792141453124,-0.04997403925288886,0.05717389658226951,0.0,False,False,0.5235987755982988,0.0
3.047,0.001,0.5224289271079493,0.00651776457941567,0.5228851943628783,0.05157193042296145,-0.04904185426998411,-0.04997403925288886,0.0,False,False,0.5235987755982988,0.0
3.048,0.001,0.5224310311714476,0.0021040634983152144,0.5232068153460933,0.07857683570216294,-0.08723691830289547,-0.04904185426998411,0.0,False,False,0.5235987755982988,0.0
3.049,0.001,0.5224300458253816,-0.0009853460660698304,0.5236723358198304,0.1172711995056624,-0.14204952339436364,-0.08723691830289547,0.0,False,False,0.5235987755982988,0.0
3.0500000000000003,0.001,0.5224249979396666,-0.005047885714961871,0.523294048620917,0.06771535966375433,-0.07577334600363245,-0.14204952339436364,0.0,False,False,0.5235987755982988,0.0
3.051,0.001,0.5224143507773442,-0.010647162322405954,0.5215990733938376,-0.1085536990105609,0.166259078492975,-0.07577334600363245,0.0,False,False,0.5235987755982988,0.0
3.052,0.001,0.5224028806258669,-0.011470151477283475,0.5216143980759699,-0.09616586089627698,0.15111782847745328,0.166259078492975,0.0,False,False,0.5235987755982988,0.0
3.053,0.001,0.5224028768925113,-3.7333556022461217e-06,0.5223367538053453,-0.014313701869109172,0.0398928345160947,0.15111782847745328,0.0,False,False,0.5235987755982988,0.0
3.0540000000000003,0.001,0.5224104301855197,0.007553293008360492,0.5220167054111352,-0.044887171103205316,0.08234186869279134,0.0398928345160947,0.0,False,False,0.5235987755982988,0.0
3.055,0.001,0.5224177838412826,0.007353655762821508,0.5214244063738366,-0.09962835772274747,0.15869267530761721,0.08234186869279134,0.0,False,False,0.5235987755982988,0.0
3.056,0.001,0.5224271133965943,0.009329555311728976,0.5220416645922263,-0.027939700111496726,0.06155563824310063,0.15869267530761721,0.0,False,False,0.5235987755982988,0.0
3.057,0.001,0.5224417281732845,0.014614776690160508,0.522027637521537,-0.026548437169278585,0.06013860998484654,0.06155563824310063,0.0,False,False,0.5235987755982988,0.0
3.0580000000000003,0.001,0.5224556211698635,0.01389299657904184,0.5218693234133178,-0.039725004274271135,0.07880014445878328,0.06013860998484654,0.0,False,False,0.5235987755982988,0.0
3.059,0.001,0.5224688597599877,0.01323859012411297,0.5221932814461584,-0.0033567005627863633,0.02932693541387117,0.07880014445878328,0.0,False,False,0.5235987755982988,0.0
3.06,0.001,0.5224825075266245,0.013647766636870612,0.5235108998971736,0.12874081459501124,-0.15290721489375939,0.02932693541387117,0.0,False,False,0.5235987755982988,0.0
3.061,0.001,0.5224940086297571,0.011501103132603106,0.5226678766205083,0.03156440546898012,-0.021121104962546634,-0.15290721489375939,0.0,False,False,0.5235987755982988,0.0
3.0620000000000003,0.001,0.522494703994946,0.0006953651889071207,0.5246517643378383,0.22679673665508668,-0.29110988129781534,-0.021121104962546634,0.0,False,False,0.5235987755982988,0.0
3.063,0.001,0.5224941319978867,-0.000571997059313068,0.522642928460269,0.0032334752326499128,0.013325078205355856,-0.29110988129781534,0.0,False,False,0.5235987755982988,0.0
3.064,0.001,0.5224791783470973,-0.014953650789460458,0.5222260482069698,-0.0387778976205374,0.07124257018856664,0.013325078205355856,0.0,False,False,0.5235987755982988,0.0
3.065,0.001,0.5224687533509379,-0.010424996159432789,0.5224723599714342,-0.010268931412051242,0.032598198978025426,0.07124257018856664,0.0,False,False,0.5235987755982988,0.0
3.0660000000000003,0.001,0.5224648041675202,-0.003949183417722409,0.5226886356439598,0.012385528981722857,0.00151988440003409,0.032598198978025426,0.0,False,False,0.5235987755982988,0.0
3.067,0.001,0.5224636702843108,-0.0011338832093425485,0.5228435010160594,0.026633513293502758,-0.018365273471893186,0.00151988440003409,0.0,False,False,0.5235987755982988,0.0
3.068,0.001,0.5224629567318292,-0.0007135524816286852,0.524275229244314,0.1671429847896183,-0.2127477473758157,-0.018365273471893186,0.0,False,False,0.5235987755982988,0.0
3.069,0.001,0.522461541744847,-0.001414986982172441,0.5217238604774297,-0.10470819037777668,0.15939830062897625,-0.2127477473758157,0.0,False,False,0.5235987755982988,0.0
3.0700000000000003,0.001,0.5224499188196864,-0.011622925160710633,0.5231995779267604,0.053334373593073636,-0.0568156902239972,0.15939830062897625,0.0,False,False,0.5235987755982988,0.0
3.071,0.001,0.5224494532895861,-0.00046553010026453324,0.5226307498871537,-0.008881867726900965,0.028082704072892428,-0.0568156902239972,0.0,False,False,0.5235987755982988,0.0
3.072,0.001,0.5224462884709083,-0.003164818677739043,0.5210752470469829,-0.16354396497129167,0.24167627188923582,0.028082704072892428,0.0,False,False,0.5235987755982988,0.0
3.073,0.001,0.5224454820461238,-0.000806424784492432,0.523118043610557,0.057090087883246404,-0.05985492968054347,0.24167627188923582,0.0,False,False,0.5235987755982988,0.0
3.074,0.001,0.5224570044570448,0.011522410920932168,0.5235632146976389,0.09589818780310813,-0.11443772915185109,-0.05985492968054347,0.0,False,False,0.5235987755982988,0.0
3.075,0.001,0.5224623689915564,0.005364534511582389,0.5217143414657404,-0.09857895416705556,0.15221455938651884,-0.11443772915185109,0.0,False,False,0.5235987755982988,0.0
3.076,0.001,0.5224604183372912,-0.0019506542651712214,0.5224526220668085,-0.014892998643532496,0.03850236193906402,0.15221455938651884,0.0,False,False,0.5235987755982988,0.0
3.077,0.001,0.5224666695613402,0.006251224049025304,0.5209610139295727,-0.16256451250276036,0.24255712504038204,0.03850236193906402,0.0,False,False,0.5235987755982988,0.0
3.078,0.001,0.5224730043066546,0.006334745314313778,0.5213744884383114,-0.10496061037862117,0.16598990133411967,0.24255712504038204,0.0,False,False,0.5235987755982988,0.0
3.079,0.001,0.5224896022466358,0.016597939981220177,0.5234041805860211,0.10850466543021696,-0.12670288829526177,0.16598990133411967,0.0,False,False,0.5235987755982988,0.0
3.08,0.001,0.5225103507657499,0.02074851911419581,0.5221033255799761,-0.03243130171730901,0.06583566239058017,-0.12670288829526177,0.0,False,False,0.5235987755982988,0.0
3.081,0.001,0.5225200199289847,0.009669163234711998,0.5215524067955558,-0.08428004998760433,0.13797069843449927,0.06583566239058017,0.0,False,False,0.5235987755982988,0.0
3.082,0.001,0.5225302481455361,0.01022821655141873,0.5227304900886673,0.04195628432230922,-0.03471840201340456,0.13797069843449927,0.0,False,False,0.5235987755982988,0.0
3.083,0.001,0.5225445077218331,0.014259576297106193,0.5220886168727421,-0.026426665702445402,0.058894855902955255,-0.03471840201340456,0.0,False,False,0.5235987755982988,0.0
3.084,0.001,0.5225532990914906,0.008791369657452992,0.5221424296855965,-0.018402717846757177,0.04829748784474952,0.058894855902955255,0.0,False,False,0.5235987755982988,0.0
3.085,0.001,0.5225625203182973,0.009221226806667282,0.5232077039879829,0.08996498417655283,-0.10091869202617666,0.04829748784474952,0.0,False,False,0.5235987755982988,0.0
3.086,0.001,0.5225715338415607,0.009013523263444552,0.5215577302343779,-0.08402888960160072,0.1375734840724973,-0.10091869202617666,0.0,False,False,0.5235987755982988,0.0
3.087,0.001,0.5225729306482082,0.0013968066474044413,0.5217828504534924,-0.05311397872999346,0.09642342708250808,0.1375734840724973,0.0,False,False,0.5235987755982988,0.0
3.088,0.001,0.5225807821798282,0.007851531620013204,0.5227152423385504,0.04543660764880624,-0.03862033050309562,0.09642342708250808,0.0,False,False,0.5235987755982988,0.0
3.089,0.001,0.5225911820005854,0.010399820757186876,0.5234371516330667,0.11308387633555769,-0.13279142022849114,-0.03862033050309562,0.0,False,False,0.5235987755982988,0.0
3.09,0.001,0.5225967430469636,0.005561046378196089,0.5236772417433877,0.125784499734102,-0.1523537902925223,-0.13279142022849114,0.0,False,False,0.5235987755982988,0.0
3.091,0.001,0.5225940156691394,-0.0027273778241057867,0.522013639831675,-0.053154141410574604,0.09231741349191756,-0.1523537902925223,0.0,False,False,0.5235987755982988,0.0
3.092,0.001,0.5225844946901443,-0.009520978995039332,0.5234025104103996,0.09104833060294386,-0.10572522334134758,0.09231741349191756,0.0,False,False,0.5235987755982988,0.0
3.093,0.001,0.5225822861083813,-0.00220858176305295,0.5218979928671214,-0.06850825678517992,0.11282399730341025,-0.10572522334134758,0.0,False,False,0.5235987755982988,0.0
3.094,0.001,0.5225754599941065,-0.006826114274813552,0.5241691282908174,0.1654561112629438,-0.20881368198086725,0.11282399730341025,0.0,False,False,0.5235987755982988,0.0
3.095,0.001,0.5225762742396521,0.0008142455456674825,0.5215868723717878,-0.10931509176631132,0.16739236819677183,-0.20881368198086725,0.0,False,False,0.5235987755982988,0.0
3.096,0.001,0.5225664004053238,-0.009873834328330954,0.5237257168698884,0.11550086722038425,-0.14088598355307444,0.16739236819677183,0.0,False,False,0.5235987755982988,0.0
3.097,0.001,0.5225676785342425,0.0012781289186953627,0.5219947863313632,-0.06914227335417852,0.11184253482985525,-0.14088598355307444,0.0,False,False,0.5235987755982988,0.0
3.098,0.001,0.5225615243339331,-0.006154200309393376,0.5243184132984465,0.17013465068957181,-0.217115059430145,0.11184253482985525,0.0,False,False,0.5235987755982988,0.0
3.099,0.001,0.522562776991456,0.0012526575229219235,0.5230788016741444,0.02916002319040628,-0.02563249719370886,-0.217115059430145,0.0,False,False,0.5235987755982988,0.0
3.1,0.001,0.5225527935787527,-0.009983412703254918,0.5216661518941098,-0.11502095713209792,0.17281237523391962,-0.02563249719370886,0.0,False,False,0.5235987755982988,0.0
3.101,0.001,0.522544337262772,-0.008456315980728131,0.5220885982153408,-0.06127422929578744,0.10071226804818893,0.17281237523391962,0.0,False,False,0.5235987755982988,0.0
3.102,0.001,0.5225469511904371,0.002613927665043406,0.5232286603947297,0.05885941157268026,-0.06396922022297233,0.10071226804818893,0.0,False,False,0.5235987755982988,0.0
3.103,0.001,0.5225538105321885,0.006859341751370412,0.523472416079195,0.07734903886194522,-0.09054437529046622,-0.06396922022297233,0.0,False,False,0.5235987755982988,0.0
3.104,0.001,0.5225554632333104,0.0016527011218907747,0.522493752237906,-0.028252249153157744,0.05379311947086086,-0.09054437529046622,0.0,False,False,0.5235987755982988,0.0
3.105,0.001,0.5225520874200082,-0.0033758133021143406,0.5225910591220629,-0.015696335822143068,0.036974499558817445,0.05379311947086086,0.0,False,False,0.5235987755982988,0.0
