time,actual_dt,position,velocity,position_measured,velocity_estimated,torque_command,torque_applied,load_torque,saturated,safety_fault,target,target_velocity
0.0,0.001,0.0,0.0,0.00026591581643884907,0.0,-0.004786484695899283,0.0,0.0,False,False,0.0,0.0
0.001,0.001,0.0,0.0,-0.0009075573411153578,-0.11734731575542065,0.1630800759954324,-0.004786484695899283,0.0,False,False,2.4523239528998453e-06,0.004902602598082509
0.002,0.001,-2.3932423479496415e-07,-0.00023932423479496414,0.0006546528878827721,0.05060843871993437,-0.06058593836352367,0.1630800759954324,0.0,False,False,9.801114580730656e-06,0.009792933349861933
0.003,0.001,7.748106470866565e-06,0.007987430705661528,0.0008285456629265346,0.06293687235231718,-0.0724362642483829,-0.06058593836352367,0.0,False,False,2.203410003718935e-05,0.014670992255338269
0.004,0.001,1.039782396490402e-05,0.0026497174940374553,-0.001692201569249004,-0.19543153810046834,0.2891261112970254,-0.0724362642483829,0.0,False,False,3.913900847597284e-05,0.01953677931451152
0.005,0.001,8.624832623063753e-06,-0.001772991341840266,-0.0011277411597141135,-0.11944234333693246,0.19399837053694502,0.2891261112970254,0.0,False,False,6.110356805077802e-05,0.02439029452738169
0.006,0.001,2.1845747231279194e-05,0.01322091460821544,0.00013340754484858505,0.018616761453030595,0.011918875046302718,0.19399837053694502,0.0,False,False,8.791550691530186e-05,0.029231537893948775
0.007,0.001,4.123934318013222e-05,0.019393595948853027,-0.00023473438039175377,-0.020059107216306337,0.07132088476169283,0.011918875046302718,0.0,False,False,0.0001195625532232412,0.03406050941421277
0.008,0.001,5.665992724061297e-05,0.015420584060480746,4.199815141081333e-05,0.009620056685581004,0.037161199990025845,0.07132088476169283,0.0,False,False,0.00015603243512829306,0.03887720908817368
0.009000000000000001,0.001,7.169970811081661e-05,0.015039780870203636,-0.0006727215519043341,-0.06281391931449182,0.14345528726478077,0.037161199990025845,0.0,False,False,0.00019731288078415427,0.04368163691583151
0.01,0.001,8.471938532468617e-05,0.013019677213869554,0.0008521388901610205,0.0959535168234928,-0.06793311960426483,0.14345528726478077,0.0,False,False,0.00024339161834452166,0.04847379289718626
0.011,0.001,0.00010142575666014116,0.016706371335454988,0.0007801772650948553,0.07916200263452701,-0.03983656672711865,-0.06793311960426483,0.0,False,False,0.0002942563759630923,0.05325367703223791
0.012,0.001,0.00011056871754072187,0.009142960880580718,0.00016819137153231236,0.010047213014820026,0.06083955475210225,-0.03983656672711865,0.0,False,False,0.0003498948817935632,0.05802128932098648
