time,actual_dt,position,velocity,position_measured,velocity_estimated,torque_command,torque_applied,load_torque,saturated,safety_fault,target,target_velocity
0.0,0.001,0.0,0.0,0.00026591581643884907,0.0,-0.004786484695899283,0.0,0.0,False,False,0.0,0.0
0.001,0.001,0.0,0.0,-0.0009075573411153578,-0.11734731575542065,0.1630800759954324,0.0,0.0,False,False,2.4523239528998453e-06,0.004902602598082509
0.002,0.001,0.0,0.0,0.0006548922121175671,0.050632371143413846,-0.060618965107925346,0.0,0.0,False,False,9.801114580730656e-06,0.009792933349861933
0.003,0.001,0.0,0.0,0.0008207975564556681,0.06215966846288255,-0.07136415366458575,0.0,0.0,False,False,2.203410003718935e-05,0.014670992255338269
0.004,0.001,0.0,0.0,-0.001702599393213908,-0.19639599335036328,0.2904706184282676,0.0,0.0,False,False,3.913900847597284e-05,0.01953677931451152
0.005,0.001,0.0,0.0,-0.0011363659923371773,-0.12013305392765392,0.19498247023302592,-0.004786484695899283,0.0,False,False,6.110356805077802e-05,0.02439029452738169
0.006,0.001,-2.3932423479496415e-07,-0.00023932423479496414,0.00011132247338251089,0.01664909803708027,0.014677602431832441,0.1630800759954324,0.0,False,False,8.791550691530186e-05,0.029231537893948775
0.007,0.001,7.748106470866565e-06,0.007987430705661528,-0.00026822561710101946,-0.022970620814980778,0.07541754334086896,-0.060618965107925346,0.0,False,False,0.0001195625532232412,0.03406050941421277
0.008,0.001,1.0396172627683937e-05,0.0026480661568173717,-4.265603202115704e-06,0.0057224426564076725,0.042671084408066565,-0.07136415366458575,0.0,False,False,0.00015603243512829306,0.03887720908817368
0.009000000000000001,0.001,8.675628894838445e-06,-0.0017205437328454923,-0.0007357456311203124,-0.06799780440105276,0.1508103827945415,0.2904706184282676,0.0,False,False,0.00019731288078415427,0.04368163691583151
0.01,0.001,2.2000391817486502e-05,0.013324762922648059,0.0007894198966538209,0.0913185288164658,-0.06124219211270283,0.19498247023302592,0.0,False,False,0.00024339161834452166,0.04847379289718626
0.011,0.001,4.152597982933202e-05,0.01952558801184552,0.0007202774882640461,0.07527243509584175,-0.03409088969774177,0.014677602431832441,0.0,False,False,0.0002942563759630923,0.05325367703223791
0.012,0.001,5.719864098961659e-05,0.015672661160284568,0.0001148212949812071,0.007199572257973685,0.06521738503823776,0.07541754334086896,0.0,False,False,0.0003498948817935632,0.05802128932098648
0.013000000000000001,0.001,7.265076640626865e-05,0.015452125416652057,0.0010563542926936196,0.10063291480341754,-0.057056611764654486,0.042671084408066565,0.0,False,False,0.00041029486398963105,0.06277662976343197
0.014,0.001,8.628398316325544e-05,0.013633216756986793,0.0004942628484698173,0.034360478900695574,0.0394523249908877,0.1508103827945415,0.0,False,False,0.0004754440507049927,0.06751969835957436
0.015,0.001,0.0001038475978724626,0.017563614709207157,-0.0006460265378717211,-0.08310450762352778,0.20787042402290093,-0.06124219211270283,0.0,False,False,0.0005453301700933455,0.07225049510941368
0.016,0.001,0.00011404580802637191,0.010198210153909312,0.000435841573103887,0.03339275423638578,0.05560530772155794,-0.03409088969774177,0.0,False,False,0.0006199409503083858,0.07696902001294992
0.017,0.001,0.00011967942804716026,0.005633620020788353,-0.0007171034981804668,-0.08524102831568814,0.22579417878136243,0.06521738503823776,0.0,False,False,0.000699264119503811,0.08167527307018307
0.018000000000000002,0.001,0.0001269046218167027,0.00722519376954244,0.0008934971254641104,0.08434313688033836,0.0004475659275754683,-0.057056611764654486,0.0,False,False,0.0007832874058333176,0.08636925428111314
0.019,0.001,0.0001291701455076567,0.0022655236909539835,8.560156906927056e-05,-0.004880732447179445,0.1292731807423674,0.0394523249908877,0.0,False,False,0.0008719985374506026,0.0910509636457401
0.02,0.001,0.0001327224584080695,0.003552312900412812,-2.8600386936107223e-05,-0.015812854802999276,0.1517316484904944,0.20787042402290093,0.0,False,False,0.0009653852425093633,0.095720401164064
0.021,0.001,0.00014559945634990865,0.012876997941839148,-0.00044862366984777663,-0.05623389761386628,0.21515081788214063,0.05560530772155794,0.0,False,False,0.0010634352491632963,0.10037756683608481
0.022,0.001,0.000157800120473856,0.01220066412394734,0.0012246687005539017,0.11671872918768812,-0.015089105700843188,0.22579417878136243,0.0,False,False,0.0011661362855660985,0.10502246066180251
0.023,0.001,0.00017797678804161392,0.02017666756775792,4.31243753665071e-05,-0.013107576249820133,0.16946152135033402,0.0004475659275754683,0.0,False,False,0.0012734760798714666,0.10965508264121716
0.024,0.001,0.0001935034528612894,0.015526664819675493,-0.00018028308587085865,-0.034137564748574684,0.20627865505735526,0.1292731807423674,0.0,False,False,0.0013854423602330987,0.11427543277432871
0.025,0.001,0.00021152808780595348,0.018024634944664067,-9.576640533191116e-05,-0.02227214021982247,0.19814698821961038,0.1517316484904944,0.0,False,False,0.0015020228548046901,0.11888351106113718
0.026000000000000002,0.001,0.00023276582403351028,0.021237736227556807,0.0006972932203592787,0.05926103637127875,0.09372835464128847,0.21515081788214063,0.0,False,False,0.0016232052917399388,0.12347931750164257
