time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_hat_rad_s,position_error_rad,velocity_error_rad_s,P_qq,P_dqdq,kalman_gain_q,kalman_gain_dq,innovation_rad,innovation_variance,nis,torque_unsat_nm,torque_applied_nm,saturated,process_disturbance_nm,load_torque_nm
0.0,0.5235987755982988,0.3490658503988659,0.3483737204707123,0.3483388911366527,0.5,0.04545876667130542,0.0007269592622132226,0.45454123332869456,7.614674126828332e-07,0.9918382209241459,0.999900023072887,0.13048850702596876,0.3483737204707123,0.007617193001007782,15.93293606956645,5.597108937438139,3.0,True,0.03608569253074123,0.0
0.001,0.5235987755982988,0.34968246726233077,0.3480276103376893,0.34815876218241415,0.6166168634648759,0.02697563154393459,0.0015237050799166152,0.5896412319209413,5.305843468438691e-07,0.5967488687258856,0.6967222652143548,392.6427167646385,-0.0004324479830922212,2.5110433840618914e-06,0.07447551853047579,5.642243445438314,3.0,True,0.20936575651630412,0.0
0.002,0.5235987755982988,0.3504220815620916,0.3509790988034597,0.35014569533923157,0.7396142997608443,1.15339280482113,0.00027638622286002557,-0.4137785050602857,5.280031064683303e-07,0.2723209043276168,0.6933327802960647,358.78070060543087,0.0027176150911490393,2.4832897047228778e-06,2.9740516257909495,3.183694859192472,3.0,True,-0.043807122782904516,0.0
0.003,0.5235987755982988,0.35127445436700067,0.3510022272231855,0.3511361304057241,0.8523728049090771,1.2047728476967574,0.0001383239612765541,-0.35240004278768033,4.86180666329892e-07,0.1302743989690672,0.6384147914722841,257.731972587915,-0.0003703226221111189,2.1061247294035768e-06,0.06511430331388314,3.0423191795144984,3.0,True,0.04557530516682185,0.0
0.004,0.5235987755982988,0.3522427126094224,0.352009134931905,0.3521835156949502,0.9682582424217562,1.276971197087743,5.9196914472203765e-05,-0.3087129546659869,4.3374775190209684e-07,0.06958050337895179,0.5695639496990086,183.68967642745557,-0.00040512583210278175,1.7692373790119263e-06,0.09276705420311207,2.854847748745535,2.854847748745535,False,-0.03388632917448204,0.0
0.005,0.5235987755982988,0.3533177512274605,0.3539461289423014,0.3537408726935034,1.0750386180380909,1.4721625351686696,-0.00042312146604289724,-0.3971239171305787,3.8588351628644495e-07,0.04091398668548109,0.5067123430520007,135.06007985795512,0.0004160984892018216,1.5438122943892162e-06,0.11214961387811566,2.389409081553326,2.389409081553326,False,0.07720578086606548,0.0
0.006,0.5235987755982988,0.35448544379239166,0.3544294816114255,0.35488905977506674,1.1676925649311767,1.500482678431693,-0.00040361598267507626,-0.33279011350051624,3.4535655253628436e-07,0.02593862686091656,0.4534954734737115,102.71509775427138,-0.0008409411840784031,1.3934807718928181e-06,0.5074932423492247,2.2919181589562596,2.2919181589562596,False,-0.012821484477879291,0.0
0.007,0.5235987755982988,0.35573820175759746,0.3558786277401333,0.35621292498861873,1.252757965205779,1.5646141210763744,-0.0004747232310212679,-0.31185615587059545,3.115785265073946e-07,0.017440321840015476,0.409140786138311,80.46926903413703,-0.0005657815612293837,1.2888747972457565e-06,0.24836297188152875,2.11260940631652,2.11260940631652,False,-0.09210275917783584,0.0
0.008,0.5235987755982988,0.3570656938298745,0.356713355256172,0.35741309395524695,1.3274920722770487,1.5929254302521896,-0.00034740012537243237,-0.2654333579751409,2.8336135729064974e-07,0.012289193070686117,0.3720881852246765,64.63915143978463,-0.0011143900825076325,1.212819271029744e-06,1.0239491453140934,2.013448507015012,2.013448507015012,False,0.08223902703096271,0.0
0.009000000000000001,0.5235987755982988,0.35847061293783006,0.3583567452199547,0.3588160912399966,1.404919107955516,1.6511913759383785,-0.0003454783021665242,-0.2462722679828624,2.5960178542575787e-07,0.008998160408457714,0.34088895586802564,53.02818156694662,-0.0006969174983963988,1.155410087946102e-06,0.42036503284689286,1.8440350315633651,1.8440350315633651,False,-0.20616392635150851,0.0
