time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_hat_rad_s,position_error_rad,velocity_error_rad_s,P_qq,P_dqdq,kalman_gain_q,kalman_gain_dq,innovation_rad,innovation_variance,nis,torque_unsat_nm,torque_applied_nm,saturated,process_disturbance_nm,load_torque_nm
0.0,0.5235987755982988,0.3490658503988659,0.3483737204707123,0.34837023722388644,0.5,0.04546285738440658,0.0006956131749794592,0.4545371426155934,7.615359351032432e-08,0.9918382092528022,0.999990001407623,0.13050024933849347,0.3483737204707123,0.007616507611813261,15.934369831964602,5.596081893085507,3.0,True,0.03608569253074123,0.0
0.001,0.5235987755982988,0.34971745232137025,0.3480625953967288,0.3480912369308007,0.6516019225043387,-0.17400082406858147,0.001626215390569563,0.8256027465729201,7.10678088874473e-08,0.13144252995023417,0.9332074171885322,864.6612851392902,-0.00042881309370429443,1.1401618524265525e-06,0.16127593546556876,6.07157671014499,3.0,True,0.20936575651630412,0.0
0.002,0.5235987755982988,0.3505288088305066,0.35108582607187466,0.35051083353582513,0.8113565091363534,1.459989908989288,1.7975294681449316e-05,-0.6486333998529347,6.199458628993804e-08,0.036398645658721474,0.8140648861558384,479.164843465084,0.003092436518104036,4.095748961678353e-07,23.348998456645223,2.520215129814762,2.520215129814762,False,-0.043807122782904516,0.0
0.003,0.5235987755982988,0.35146218188491557,0.35118995474110043,0.3514491705033815,0.933373054409003,1.3343988904175514,1.3011381534089317e-05,-0.40102583600854846,5.269815576269246e-08,0.014873816983081203,0.6919913614866989,293.42633503197567,-0.0008415860137307996,2.472474645979403e-07,2.8646078116879417,2.756652351489838,2.756652351489838,False,0.04557530516682185,0.0
0.004,0.5235987755982988,0.352533563133608,0.3522999854560906,0.35252265907399627,1.0713812486924235,1.3598163167168638,1.0904059611738237e-05,-0.2884350680244403,4.535209686813556e-08,0.007513348474851765,0.5955286063402526,196.87219736222983,-0.0005505299543951958,1.8828118907894957e-07,1.6097371817600339,2.667757389411813,2.667757389411813,False,-0.03388632917448204,0.0
0.005,0.5235987755982988,0.35373387289233793,0.3543622506071788,0.3541633324601888,1.200309758729921,1.5476093211881048,-0.00042945956785084283,-0.34729956245818383,3.9663138938138647e-08,0.004344806921196571,0.5208256174700783,141.1224279864516,0.00041512683950212237,1.5892826854516112e-07,1.0843275048079406,2.2153358326423493,2.2153358326423493,False,0.07720578086606548,0.0
0.006,0.5235987755982988,0.35504531555022795,0.3549893533692618,0.3554058208446868,1.3114426578900276,1.570902435762647,-0.00036050529445885715,-0.25945977787261953,3.5200325479436416e-08,0.0027674137213395396,0.4622234080254962,106.28274387768087,-0.0007744246991039372,1.4160964996090356e-07,4.235118261698985,2.125465365083981,2.125465365083981,False,-0.012821484477879291,0.0
0.007,0.5235987755982988,0.3564583365618884,0.35659876254442424,0.35684922687653053,1.413021011660487,1.6362176534611943,-0.00039089031464212276,-0.2231966418007072,3.16388764043301e-08,0.0019003935199826852,0.4154572174694863,83.20839804134008,-0.000428479043094232,1.302802074075764e-07,1.4092262671687448,1.9397571495988855,1.9397571495988855,False,-0.09210275917783584,0.0
0.008,0.5235987755982988,0.3579591143574315,0.35760677578372896,0.3581821365930538,1.500777795543101,1.6653746545131445,-0.0002230222356223166,-0.1645968589700435,2.875277937373365e-08,0.001388984628241985,0.377559226834318,67.25541288895495,-0.0009243623395662759,1.223479537809878e-07,6.983735390768876,1.8344864924827737,1.8344864924827737,False,0.08223902703096271,0.0
0.009000000000000001,0.5235987755982988,0.35955078768966,0.3594369199717846,0.35973333899172616,1.5916733322284988,1.725925425900699,-0.00018255130206618064,-0.13425209367220026,2.6385181217979802e-08,0.0010714040122609082,0.34646976179437877,55.86907802811392,-0.0004535658835854717,1.1652766849131866e-07,1.7654348826862178,1.6554022416866374,1.6554022416866374,False,-0.20616392635150851,0.0
0.01,0.5235987755982988,0.36120933155061585,0.36079282729525075,0.36127154809293627,1.658543860955878,1.769015508297359,-6.221654232041463e-05,-0.11047164734148107,2.4425448206240703e-08,0.0008666228483313764,0.32073606589331966,47.550543545934886,-0.0007047640447966352,1.1211305521001929e-07,4.4302811827549355,1.5138496832310468,1.5138496832310468,False,0.09849324079403066,0.0
0.011,0.5235987755982988,0.36294272781362497,0.36274002285519935,0.36297489640813657,1.7333962630091289,1.8244262890234308,-3.21685945116057e-05,-0.09103002601430199,2.2793834231561194e-08,0.0007309572042518865,0.2993109750259366,41.37255235336085,-0.0003352036988818474,1.0868495471225067e-07,1.0338277275042849,1.3407467516669893,1.3407467516669893,False,-0.022309921535448505,0.0
0.012,0.5235987755982988,0.3647358002048727,0.365295908325947,0.3649607569782286,1.793072391247729,1.9018726908326724,-0.00022495677335593323,-0.1088002995849433,2.143147192906515e-08,0.000639408116601333,0.28142148855533405,36.73512478470681,0.00046640880903131565,1.0597917100745562e-07,2.052640863993044,1.1116329791378359,1.1116329791378359,False,0.27369154573731536,0.0
0.013000000000000001,0.5235987755982988,0.3665916910311963,0.36596931650559494,0.3666423512567256,1.855890826323672,1.9198073151424346,-5.066022552929761e-05,-0.06391648881876266,2.0293785539734222e-08,0.0005769415626330494,0.26648227214246395,33.23455295144333,-0.0009175439468879221,1.038207422322421e-07,8.109043302612928,1.0188856529264285,1.0188856529264285,False,0.20223102201511464,0.0
0.014,0.5235987755982988,0.36850183590290475,0.36742844726434104,0.36829045307292546,1.9101448717084146,1.928131627506843,0.0002113828299792897,-0.017986755798428344,1.934608334185892e-08,0.0005341277040439444,0.25403778097004354,30.589513629864815,-0.0011555622880007888,1.0208875597708916e-07,13.080032062975597,0.9476514080403593,0.9476514080403593,False,0.02624664341105609,0.0
0.015,0.5235987755982988,0.3704535046868934,0.3694328976461555,0.37004224618879134,1.9516687839886855,1.9451312800483374,0.00041125849810208503,0.006537503940348133,1.8560561803120727e-08,0.0005048346041610765,0.2437229205882805,28.59762186838403,-0.0008057212881683595,1.0069636779937173e-07,6.446973296009304,0.8546106253998209,0.8546106253998209,False,0.20271872767562807,0.0
0.016,0.5235987755982988,0.372450750551718,0.3731784856517596,0.37228106632198404,1.9972458648245761,2.0122165417621614,0.00016968422973395736,-0.014970676937585248,1.791425076860586e-08,0.00048495002189940606,0.23523606471552827,27.10900475336805,0.0011734592707248193,9.95789045914538e-08,13.82829692392704,0.6392996275325755,0.6392996275325755,False,0.17065751769826024,0.0
