time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_hat_rad_s,position_error_rad,velocity_error_rad_s,P_qq,P_dqdq,kalman_gain_q,kalman_gain_dq,innovation_rad,innovation_variance,nis,torque_unsat_nm,torque_applied_nm,saturated,process_disturbance_nm,load_torque_nm
0.0,0.5235987755982988,0.3490658503988659,0.3421445511173298,0.3421103445564806,0.5,0.044645931662370616,0.006955505842385301,0.45535406833762937,7.614674126828332e-07,0.9918382209241459,0.999900023072887,0.13048850702596876,0.3421445511173298,0.007617193001007782,15.368245736164392,5.801185240249741,3.0,True,0.03608569253074123,0.0
0.001,0.5235987755982988,0.34971745232137025,0.33316888307495585,0.3359171305530117,0.6516019225043387,-3.362092991909464,0.013800321768358548,4.0136949144138026,5.305843468438691e-07,0.5967488687258856,0.6967222652143548,392.6427167646385,-0.00906181747894641,2.5110433840618914e-06,32.702157415100515,13.242801089416389,3.0,True,0.20936575651630412,0.0
0.002,0.5235987755982988,0.3505288088305066,0.3560989812441874,0.3489041618482023,0.8113565091363534,5.220502758738197,0.0016246469823043008,-4.409146249601844,5.280031064683303e-07,0.2723209043276168,0.6933327802960647,358.78070060543087,0.023461325285862533,2.4832897047228778e-06,221.65508241837546,-5.419886636038261,-3.0,True,-0.043807122782904516,0.0
0.003,0.5235987755982988,0.35118284704381575,0.3484605756056643,0.350477390161241,0.6540382133091769,3.6102935536779883,0.0007054568825747287,-2.9562553403688114,4.86180666329892e-07,0.1302743989690672,0.6384147914722841,257.731972587915,-0.005577702040934385,2.1061247294035768e-06,14.771565816167833,-2.048784613569903,-2.048784613569903,False,0.04557530516682185,0.0
0.004,0.5235987755982988,0.3517328623620086,0.34939708558683424,0.3513906547386648,0.550015318192861,2.641437841994685,0.0003422076233438043,-2.091422523801824,4.3374775190209684e-07,0.06958050337895179,0.5695639496990086,183.68967642745557,-0.0046315106516671145,1.7692373790119263e-06,12.124371308775824,-0.019324407568110047,-0.019324407568110047,False,-0.03388632917448204,0.0
0.005,0.5235987755982988,0.35227795139155993,0.35856172853996837,0.35632443191817414,0.5450890295512865,3.2423187505990763,-0.004046480526614216,-2.6972297210477896,3.8588351628644495e-07,0.04091398668548109,0.5067123430520007,135.06007985795512,0.004535480647613388,1.5438122943892162e-06,13.324537432197333,-1.4566746101751722,-1.4566746101751722,False,0.07720578086606548,0.0
0.006,0.5235987755982988,0.35275102260714736,0.3521914007974856,0.35619835523813775,0.4730712155874263,2.402512453869025,-0.0034473326309903962,-1.9294412382815984,3.4535655253628436e-07,0.02593862686091656,0.4534954734737115,102.71509775427138,-0.007331969354620493,1.3934807718928181e-06,38.57805267314368,0.3322795288958993,0.3322795288958993,False,-0.012821484477879291,0.0
0.007,0.5235987755982988,0.35323833786523395,0.3546425976905925,0.3569834600289155,0.4873152580865975,2.090752529536423,-0.003745122163681558,-1.6034372714498253,3.115785265073946e-07,0.017440321840015476,0.409140786138311,80.46926903413703,-0.003961793746134201,1.2888747972457565e-06,12.17791652102207,0.9693636015951226,0.9693636015951226,False,-0.09210275917783584,0.0
0.008,0.5235987755982988,0.35376806534788025,0.350244679610855,0.3558015648053611,0.5297274826463096,1.5591885995165709,-0.0020334994574808807,-1.0294611168702612,2.8336135729064974e-07,0.012289193070686117,0.3720881852246765,64.63915143978463,-0.008849786010945604,1.212819271029744e-06,64.57574867938239,2.137504371757705,2.137504371757705,False,0.08223902703096271,0.0
0.009000000000000001,0.5235987755982988,0.35440796533635666,0.3532692881576033,0.3559995314129458,0.6398999884763836,1.4411530658166571,-0.0015915660765891682,-0.8012530773402735,2.5960178542575787e-07,0.008998160408457714,0.34088895586802564,53.02818156694662,-0.004142311496142748,1.155410087946102e-06,14.850783033735116,2.381936406765981,2.381936406765981,False,-0.20616392635150851,0.0
