time_s,q_ref_rad,q_true_rad,q_measured_rad,q_hat_rad,dq_true_rad_s,dq_hat_rad_s,position_error_rad,velocity_error_rad_s,P_qq,P_dqdq,kalman_gain_q,kalman_gain_dq,innovation_rad,innovation_variance,nis,torque_unsat_nm,torque_applied_nm,saturated,process_disturbance_nm,load_torque_nm
0.0,0.5235987755982988,0.3490658503988659,0.3483737204707123,0.3483388911366527,0.5,0.04545876667130542,0.0007269592622132226,0.45454123332869456,7.614674126828332e-07,0.9918382209241459,0.999900023072887,0.13048850702596876,0.3483737204707123,0.007617193001007782,15.93293606956645,5.597108937438139,3.0,True,0.03608569253074123,0.0
0.001,0.5235987755982988,0.34971745232137025,0.3480625953967288,0.34818313705199677,0.6516019225043387,0.04071226017136842,0.0015343152693734763,0.6108896623329703,5.305843468438691e-07,0.5967488687258856,0.6967222652143548,392.6427167646385,-0.0003974629240527383,2.5110433840618914e-06,0.06291280230332295,5.612256821327493,3.0,True,0.20936575651630412,0.0
0.002,0.5235987755982988,0.3505288088305066,0.35108582607187466,0.3502313718577321,0.8113565091363534,1.19170176788474,0.00029743697277445635,-0.38034525874838654,5.280031064683303e-07,0.2723209043276168,0.6933327802960647,358.78070060543087,0.0027862587170792708,2.4832897047228778e-06,3.1261908845092083,3.099492602168365,3.0,True,-0.043807122782904516,0.0
0.003,0.5235987755982988,0.3514864600384519,0.35121423289463677,0.3513162811888725,0.9576512079453474,1.2656321856945845,0.00017017884957942764,-0.30798097774923705,4.86180666329892e-07,0.1302743989690672,0.6384147914722841,257.731972587915,-0.00028222474766387284,2.1061247294035768e-06,0.0378186567404736,2.9071209139772343,2.9071209139772343,False,0.04557530516682185,0.0
0.004,0.5235987755982988,0.3525896348779198,0.35235605720040236,0.3524837863039679,1.1031748394678647,1.3528022374316622,0.00010584857395184999,-0.24962739796379751,4.3374775190209684e-07,0.06958050337895179,0.5695639496990086,183.68967642745557,-0.00029674350806868643,1.7692373790119263e-06,0.04977099773354776,2.6839274338172894,2.6839274338172894,False,-0.03388632917448204,0.0
0.005,0.5235987755982988,0.3538224273472607,0.3544508050621016,0.35417991843713875,1.232792469340936,1.5570241574125903,-0.000357491089878037,-0.32423168807165426,3.8588351628644495e-07,0.04091398668548109,0.5067123430520007,135.06007985795512,0.0005491453539275826,1.5438122943892162e-06,0.19533502928836138,2.1947874463873975,2.1947874463873975,False,0.07720578086606548,0.0
0.006,0.5235987755982988,0.3551651810048438,0.35510921882387764,0.3554808538006924,1.342753657583096,1.59170090899411,-0.0003156727958485983,-0.24894725141101404,3.4535655253628436e-07,0.02593862686091656,0.4534954734737115,102.71509775427138,-0.0006800217725129176,1.3934807718928181e-06,0.3318521650381114,2.078824306606452,2.078824306606452,False,-0.012821484477879291,0.0
0.007,0.5235987755982988,0.3566070257180808,0.3567474517006166,0.3569686697842036,1.4418447132369736,1.6601017858882847,-0.00036164406612282374,-0.2182570726513111,3.115785265073946e-07,0.017440321840015476,0.409140786138311,80.46926903413703,-0.000374400666685315,1.2888747972457565e-06,0.10875832122247658,1.8851153135993144,1.8851153135993144,False,-0.09210275917783584,0.0
0.008,0.5235987755982988,0.35813374516177376,0.3577814065880712,0.35834127129435034,1.5267194436929608,1.690936793274642,-0.00020752613257657426,-0.16421734958168122,2.8336135729064974e-07,0.012289193070686117,0.3720881852246765,64.63915143978463,-0.0008916295140575792,1.212819271029744e-06,0.6555001304222,1.7749888739259783,1.7749888739259783,False,0.08223902703096271,0.0
0.009000000000000001,0.5235987755982988,0.3597482440801436,0.35963437636226825,0.35992389166532934,1.6144989183698393,1.750426976148534,-0.0001756475851857342,-0.13592805777869477,2.5960178542575787e-07,0.008998160408457714,0.34088895586802564,53.02818156694662,-0.00043925117874843433,1.155410087946102e-06,0.1669897121764523,1.597138028907608,1.597138028907608,False,-0.20616392635150851,0.0
0.01,0.5235987755982988,0.3614265725331185,0.3610100682777534,0.3614907314994354,1.6783284529748637,1.7929389611674393,-6.415896631689622e-05,-0.11461050819257568,2.394079928001132e-07,0.006804138862657169,0.314372031603111,44.28806719016805,-0.0007010554467401509,1.1107241602867888e-06,0.44248496339283083,1.4558839774513745,1.4558839774513745,False,0.09849324079403066,0.0
0.011,0.5235987755982988,0.3631767398491434,0.3629740348907178,0.3632168547724172,1.7501673160249094,1.8463178395645556,-4.0114923273826264e-05,-0.09615052353964626,2.2208674735780218e-07,0.005289616463609419,0.2916271137918587,37.56266282627167,-0.0003427853979550699,1.0750602744597527e-06,0.10929789877154891,1.2863595939997228,1.2863595939997228,False,-0.022309921535448505,0.0
0.012,0.5235987755982988,0.36498376307520686,0.3655438711962812,0.36521483714881914,1.8070232260634713,1.9183886743749783,-0.00023107407361228072,-0.11136544831150696,2.071036631753195e-07,0.0042135743074391795,0.27195248823305296,32.29025935996443,0.00045194035024370693,1.0460080381547224e-06,0.19526626252196394,1.0682768237769187,1.0682768237769187,False,0.27369154573731536,0.0
0.013000000000000001,0.5235987755982988,0.36685135416416176,0.3662289796385604,0.36692003432270287,1.867591088954882,1.9385107638062868,-6.868015854111231e-05,-0.07091967485140493,1.9404544100415006e-07,0.0034304418391234853,0.25480544236770125,28.091172819120818,-0.0009273480020280389,1.0219392260276543e-06,0.8415121907084172,0.9701136365121092,0.9701136365121092,False,0.20223102201511464,0.0
0.014,0.5235987755982988,0.3687706838119923,0.3676972951734286,0.3685957667128599,1.919329647830551,1.9504510285130428,0.00017491709913242115,-0.031121380682491706,1.8258986831147582e-07,0.0028488426017808806,0.23976287165628835,24.701819175065364,-0.0011818306498509457,1.0017184389900899e-06,1.3943276179834068,0.8902966877242848,0.8902966877242848,False,0.02624664341105609,0.0
0.015,0.5235987755982988,0.37072859779802697,0.36970799075728905,0.37037070699483304,1.95791398603465,1.9687125276812807,0.00035789080319392763,-0.010798541646630744,1.7248327605423678e-07,0.002409482898708775,0.22649167756067085,21.934812950267126,-0.0008567667836514858,9.84531810937954e-07,0.7455821268681916,0.7938220861939245,0.7938220861939245,False,0.20271872767562807,0.0
0.016,0.5235987755982988,0.37272898747028227,0.37345672257032386,0.37259195008494983,2.0003896722552943,2.022464932367858,0.00013703738533243914,-0.022075260112563555,1.635238903101699e-07,0.0020727608081747137,0.21472690619553986,19.65408525878398,0.0011012378906100073,9.697817937162158e-07,1.250513156230745,0.6074187248934741,0.6074187248934741,False,0.17065751769826024,0.0
0.017,0.5235987755982988,0.37476062554698375,0.3739878520878555,0.37449538521004877,2.0316380767014808,2.033615558407421,0.00026524033693497984,-0.001977481705940143,1.5554956063024035e-07,0.001811548023318675,0.2042556341513959,17.758935602109457,-0.0006378092563081306,9.570203474260734e-07,0.42507000872701356,0.5218825610853397,0.5218825610853397,False,0.10268325382271026,0.0
