timestamp_s,torque_command_nm,torque_applied_nm,position_true_rad,position_measured_rad,velocity_true_rad_s,velocity_est_rad_s,acceleration_true_rad_s2,acceleration_est_rad_s2,torque_predicted_nm,residual_nm
0.0,0.0,0.0,0.0,-0.00027685197126144545,0.0,0.3182073334745233,0.0,-582.6123796070815,nan,nan
0.001,0.006408697382076153,0.006408697382076153,3.204348691038077e-07,8.429565453893842e-05,0.00032043486910380767,0.29892779834007527,0.32043486910380764,-542.9636966530968,nan,nan
0.002,0.012816485021031863,0.012816485021031863,-3.719587750217208e-06,-0.0006656623576067922,-0.004040022619321015,0.2796349078362994,-4.360457488424823,-503.74643406749334,nan,nan
0.003,0.019222453395542037,0.019222453395542037,-1.7823276092838365e-06,0.00048543391134248684,0.0019372601409333714,0.2604935165700938,5.977282760254386,-465.222528101344,nan,nan
0.004,0.025625693427810924,0.025625693427810924,-3.5715318375236533e-06,0.0002192353647097076,-0.0017892042282398168,0.24165754021801378,-3.726464369173188,-427.61528938176997,nan,nan
0.005,0.032025296705183316,0.032025296705183316,1.2476855864086552e-06,-0.00010069611819853868,0.004819217423932308,0.2232698026201319,6.608421652172125,-391.11760082484136,nan,nan
0.006,0.03842035570157174,0.03842035570157174,2.9686439257238217e-06,-0.00010592221360033479,0.001720958339315166,0.20545233434457716,-3.0982590846171423,-355.89638841799547,nan,nan
0.007,0.044809963998638236,0.044809963998638236,1.9232166316136385e-06,0.00010798176766657696,-0.001045427294110183,0.18830315667595002,-2.766385633425349,-322.0876469887519,nan,nan
0.008,0.051193216506669637,0.051193216506669637,8.441631872013379e-06,-8.498943913496188e-05,0.0065184152403997405,0.1719022130991372,7.563842534509924,-289.7956329643193,nan,nan
0.009000000000000001,0.05756920968508511,0.05756920968508511,1.2812433935705777e-05,-6.604463479887072e-05,0.004370802063692397,0.15631523512367032,-2.1476131767073436,-259.09702380356924,nan,nan
0.01,0.06393704176251508,0.06393704176251508,1.5362604879269156e-05,0.00026671369081560775,0.002550170943563381,0.14159658674751738,-1.820631120129016,-230.04312685831206,nan,nan
0.011,0.07029581295639054,0.07029581295639054,1.641736578687781e-05,0.00019608337614502206,0.0010547609076086539,0.1277936947391494,-1.495410035954727,-202.66394308093044,nan,nan
0.012,0.07664462569198204,0.07664462569198204,1.630013893545513e-05,-6.084733451014714e-06,-0.00011722685142267911,0.11494648789400741,-1.171987759031333,-176.97510210901402,nan,nan
0.013000000000000001,0.08298258482082768,0.08298258482082768,2.5332510232479525e-05,-4.50443898516577e-06,0.009032371297024396,0.10308241252420917,9.149598148447074,-152.98024636226648,nan,nan
0.014,0.0893087978384899,0.0893087978384899,3.379419193624032e-05,8.996458495058184e-05,0.008461681703760793,0.09221528828486361,-0.5706895932636027,-130.66945066370246,nan,nan
0.015,0.09562237510158059,0.09562237510158059,4.20031456682651e-05,-0.00017232970737502307,0.008208953732024779,0.08234739751366824,-0.25272797173601436,-110.01976020070234,nan,nan
