timestamp_s,torque_command_nm,torque_applied_nm,position_true_rad,position_measured_rad,velocity_true_rad_s,velocity_est_rad_s,acceleration_true_rad_s2,acceleration_est_rad_s2,torque_predicted_nm,residual_nm
0.0,0.0,0.0,0.0,-0.00027685197126144545,0.0,0.31961112424738025,0.0,-580.3303613427788,nan,nan
0.001,0.006408697382076153,0.006408697382076153,3.204348691038077e-07,8.429565453893842e-05,0.00032043486910380767,0.30200983193694786,0.32043486910380764,-540.5889485438596,nan,nan
0.002,0.012816485021031863,0.012816485021031863,1.2804122497827935e-06,-0.0006606623576067922,0.0009599773806789856,0.2845066950638699,0.6395425115751779,-501.27892088407145,nan,nan
0.003,0.019222453395542037,0.019222453395542037,3.197672390716165e-06,0.0004904139113424869,0.0019172601409333716,0.26726973528479553,0.957282760254386,-462.66181202212573,nan,nan
0.004,0.025625693427810924,0.025625693427810924,6.38854816247635e-06,0.0002291954447097076,0.0031908757717601845,0.2504558298927145,1.2736156308268127,-424.9606888230459,nan,nan
0.005,0.032025296705183316,0.032025296705183316,1.116792526640866e-05,-9.077587851853868e-05,0.004779377103932309,0.2342104197126567,1.588501332172125,-388.36837532469434,nan,nan
0.006,0.03842035570157174,0.03842035570157174,1.784920264700383e-05,-9.104165487905478e-05,0.006681277380595168,0.2186576714906488,1.9019002766628577,-353.05188774623116,nan,nan
0.007,0.044809963998638236,0.044809963998638236,2.6744253118008527e-05,0.00013280280415297187,0.008895050471004699,0.2038971903024072,2.213773090409531,-319.14740616111123,nan,nan
0.008,0.051193216506669637,0.051193216506669637,3.816338421246269e-05,-5.5267686794512576e-05,0.011419131094454162,0.1900099188609974,2.524080623449463,-286.7594629144007,nan,nan
0.009000000000000001,0.05756920968508511,0.05756920968508511,5.241529926679329e-05,-2.6441769467783205e-05,0.014251915054330601,0.1770619360591595,2.832783959876439,-255.9651101580214,nan,nan
0.01,0.06393704176251508,0.06393704176251508,6.980705874903232e-05,0.0003211581446853709,0.017391759482239033,0.16510724852945907,3.1398444279084314,-226.81606263508235,nan,nan
0.011,0.07029581295639054,0.07029581295639054,9.064404184116193e-05,0.0002703100521993062,0.020836983092129606,0.15419228119756168,3.445223609890571,-199.34267085949492,nan,nan
0.012,0.07664462569198204,0.07664462569198204,0.00011522990828552213,9.284503589905228e-05,0.02458586644436019,0.1443554400589822,3.7488833522305836,-173.56086493912414,nan,nan
0.013000000000000001,0.08298258482082768,0.08298258482082768,0.00014386656050514626,0.00011402961128750097,0.02863665221962413,0.13562216584185827,4.050785775263943,-149.47464625249586,nan,nan
0.014,0.0893087978384899,0.0893087978384899,0.0001768541060078164,0.00023302449902215793,0.03298754550267013,0.12800369362093292,4.350893283045998,-127.07457705400614,nan,nan
0.015,0.09562237510158059,0.09562237510158059,0.00021449082008355487,1.57967040266717e-07,0.03763671407573848,0.12149903586932877,4.649168573068349,-106.33826438803712,nan,nan
0.016,0.1019224300439946,0.1019224300439946,0.00025707310880519014,0.00011613767932417966,0.042582288721635254,0.11609641261471057,4.945574645896776,-87.23103063483099,nan,nan
0.017,0.10820807939229185,0.10820807939229185,0.00030489547234155347,0.0004962743783851423,0.04782236353636331,0.11177726498186732,5.240074814728052,-69.70616601780767,nan,nan
0.018000000000000002,0.11447844338016866,0.11447844338016866,0.00035825046859277977,0.0003127033814426449,0.05335499625122629,0.10852029036096861,5.53263271486298,-53.710425983556405,nan,nan
0.019,0.12073264596195854,0.12073264596195854,0.00041742867715709907,-6.233656466595751e-05,0.059178208564319316,0.10629731641694963,5.8232123130930225,-39.189728246574404,nan,nan
0.02,0.12696981502510407,0.12696981502510407,0.00048271866363841634,0.0003161169614923691,0.06528998648131724,0.10506855062849532,6.1117779169979265,-26.08470986500748,nan,nan
0.021,0.13318908260154055,0.13318908260154055,0.0005544069443038853,0.0007836111233459425,0.071688280665469,0.10478971092414124,6.3982941841517595,-14.324732684985364,nan,nan
