timestamp_s,torque_command_nm,torque_applied_nm,position_true_rad,position_measured_rad,velocity_true_rad_s,velocity_est_rad_s,acceleration_true_rad_s2,acceleration_est_rad_s2,torque_predicted_nm,residual_nm
0.0,0.0,0.0,0.0,-0.00027685197126144545,0.0,0.32164681076000545,0.0,-580.7429455010024,nan,nan
0.001,0.0014137143686458037,0.0014137143686458037,7.068571843229018e-08,8.404590538826691e-05,7.068571843229019e-05,0.3025619927390118,0.07068571843229018,-541.1916564028186,nan,nan
0.002,0.002827414784501528,0.002827414784501528,2.824594332159276e-07,-0.000661660310423359,0.00021177371478363742,0.283453014942676,0.14108799635134722,-502.07707035595615,nan,nan
0.003,0.004241087294914803,0.004241087294914803,7.054404178861706e-07,0.0004879216793696569,0.000422980984670243,0.26448152139533043,0.21120726988660557,-463.6603162032604,nan,nan
0.004,0.005654717947508673,0.005654717947508673,1.4094653759931661e-06,0.00022421636192322442,0.0007040249581069957,0.24579800111031933,0.2810439734367527,-426.1640503753205,nan,nan
0.005,0.007068292790319304,0.007068292790319304,2.464088873783699e-06,-9.947971491116365e-05,0.001054623497790533,0.22754156536984835,0.3505985396835372,-389.78068544998087,nan,nan
0.006,0.008481797871933679,0.008481797871933679,3.938583771179754e-06,-0.00010495227375487885,0.0014744948973960548,0.2098301701089938,0.4198713996055218,-354.6768286864097,nan,nan
0.007,0.009895219241627298,0.009895219241627298,5.90194165106759e-06,0.00011196049268603092,0.0019633578798878355,0.19275738014025823,0.4888629824917807,-320.98825649568977,nan,nan
0.008,0.011308542949501866,0.011308542949501866,8.422873246910968e-06,-8.500819776006429e-05,0.0025209315958433774,0.17639831268427295,0.557573715955542,-288.8191052656268,nan,nan
0.009000000000000001,0.012721755046622965,0.012721755046622965,1.1569808868702121e-05,-6.728725986587438e-05,0.0031469356217911524,0.16081347311866193,0.6260040259477748,-258.2460409420999,nan,nan
0.01,0.014134841585157732,0.014134841585157732,1.5410898827263998e-05,0.0002667619847636026,0.0038410899585618746,0.14605157729094653,0.6941543367707219,-229.32040352625538,nan,nan
0.011,0.01554778861851252,0.01554778861851252,2.001401385691725e-05,0.0001996800242150615,0.0046031150296532534,0.13215406691692594,0.7620250710913785,-202.07218166113998,nan,nan
0.012,0.016960582201470543,0.016960582201470543,2.544674553652542e-05,3.0618731500555743e-06,0.005432731679608168,0.11915469182196554,0.8296166499549142,-176.51695758255497,nan,nan
