time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
1.000000000000000056e-01,5.235987755982988157e-01,2.769100686559464175e-02,4.662284432065690876e-01,2.765224392844512283e-02,2.066051825124898267e-01,-4.959465316698536963e-01,2.066051825124898267e-01,1.029227374827010877e-01,1.029227374827010877e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.100000000000000006e-01,5.235987755982988157e-01,3.268475896953702137e-02,4.993752103942381004e-01,3.274228555929154655e-02,2.368450805697050743e-01,-4.908564900390072760e-01,2.368450805697050743e-01,1.010392566854694252e-01,1.010392566854694252e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.199999999999999956e-01,5.235987755982988157e-01,3.798698643237455319e-02,5.302227462837528771e-01,3.785195737037629765e-02,2.642572906235820529e-01,-4.857468182279225388e-01,2.642572906235820529e-01,9.922377091773174063e-02,9.922377091773174063e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.300000000000000044e-01,5.235987755982988157e-01,4.357597476946183795e-02,5.588988337087283931e-01,4.388976522863198559e-02,2.982096401437807076e-01,-4.797090103696668439e-01,2.982096401437807076e-01,9.703861699962737508e-02,9.703861699962737508e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.400000000000000133e-01,5.235987755982988157e-01,4.942902075912813942e-02,5.853045989666304516e-01,4.868125877919451255e-02,3.163036116350279037e-01,-4.749175168191043239e-01,3.163036116350279037e-01,9.553073145431334456e-02,9.553073145431334456e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.499999999999999944e-01,5.235987755982988157e-01,5.552777032259794548e-02,6.098749563469808566e-01,5.600362275101954806e-02,3.578968901897754962e-01,-4.675951528472792607e-01,3.578968901897754962e-01,9.287000999127605072e-02,9.287000999127605072e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.600000000000000033e-01,5.235987755982988157e-01,6.184878117348672349e-02,6.321010850888776345e-01,6.132600205640296315e-02,3.753309942246320641e-01,-4.622727735418958317e-01,3.753309942246320641e-01,9.126316453222893532e-02,9.126316453222893532e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.700000000000000122e-01,5.235987755982988157e-01,6.837489589921737221e-02,6.526114725730649546e-01,6.815784119890642978e-02,4.061162862272035268e-01,-4.554409343993923720e-01,4.061162862272035268e-01,8.898572430673862277e-02,8.898572430673862277e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.799999999999999933e-01,5.235987755982988157e-01,7.508626052552712371e-02,6.711364626309751502e-01,7.461409056549790642e-02,4.300671512703979626e-01,-4.489846850328009231e-01,4.300671512703979626e-01,8.696492200558458840e-02,8.696492200558458840e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.900000000000000022e-01,5.235987755982988157e-01,8.196512602687083815e-02,6.878865501343707223e-01,8.168751368483923025e-02,4.577946673367713770e-01,-4.419112619134595854e-01,4.577946673367713770e-01,8.471293299973872704e-02,8.471293299973872704e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
2.000000000000000111e-01,5.235987755982988157e-01,8.899329434243175019e-02,7.028168315560914259e-01,8.875536115627812028e-02,4.826936753174831396e-01,-4.348434144420206815e-01,4.826936753174831396e-01,8.253445929682658166e-02,8.253445929682658166e-02,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
