time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
1.000000000000000056e-01,5.235987755982988157e-01,4.279573473420956176e-01,4.726671069221559662e+00,4.279185844049461229e-01,2.980933631769492997e+00,-9.568019119335269274e-02,2.980933631769492997e+00,-7.710980301119660929e-01,-7.710980301119660929e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.100000000000000006e-01,5.235987755982988157e-01,4.694025497349767484e-01,4.144520239288111085e+00,4.694600763247312458e-01,3.098255187790395215e+00,-5.413869927356756984e-02,3.098255187790395215e+00,-1.023705882424556624e+00,-1.023705882424556624e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.199999999999999956e-01,5.235987755982988157e-01,5.039844152020958035e-01,3.458186546711902842e+00,5.038493861400975549e-01,3.132322767165018895e+00,-1.974938945820126079e-02,3.132322767165018895e+00,-1.206583109120306530e+00,-1.206583109120306530e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.300000000000000044e-01,5.235987755982988157e-01,5.310562776998809520e-01,2.707186249778513520e+00,5.313700681590510788e-01,3.094297310638052245e+00,7.771292560752263157e-03,3.094297310638052245e+00,-1.325765163716802197e+00,-1.325765163716802197e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.400000000000000133e-01,5.235987755982988157e-01,5.503200448097231856e-01,1.926376710984223140e+00,5.495722828297895379e-01,2.966889726281631390e+00,2.597350723149072227e-02,2.966889726281631390e+00,-1.362039509777986934e+00,-1.362039509777986934e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.499999999999999944e-01,5.235987755982988157e-01,5.619092611379064017e-01,1.158921632818325165e+00,5.623851135663280321e-01,2.798329061018853370e+00,3.878633796802921641e-02,2.798329061018853370e+00,-1.354750443919582770e+00,-1.354750443919582770e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.600000000000000033e-01,5.235987755982988157e-01,5.661724881056773295e-01,4.263226967770928910e-01,5.656497089885935692e-01,2.551142109139623138e+00,4.205093339029475352e-02,2.551142109139623138e+00,-1.267902388374227973e+00,-1.267902388374227973e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.700000000000000122e-01,5.235987755982988157e-01,5.638467171529469857e-01,-2.325770952730372709e-01,5.636296624526360155e-01,2.275827432866085687e+00,4.003088685433719984e-02,2.275827432866085687e+00,-1.143425037563469138e+00,-1.143425037563469138e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.799999999999999933e-01,5.235987755982988157e-01,5.558294215689639772e-01,-8.017295583982984031e-01,5.553572516089347877e-01,1.965520581142464751e+00,3.175847601063597203e-02,1.965520581142464751e+00,-9.737145915570449839e-01,-9.737145915570449839e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.900000000000000022e-01,5.235987755982988157e-01,5.432105159131832561e-01,-1.261890565578074108e+00,5.429329035711516482e-01,1.644725042650386992e+00,1.933412797285283258e-02,1.644725042650386992e+00,-7.792716611440868579e-01,-7.792716611440868579e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
