time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
1.000000000000000056e-01,5.235987755982988157e-01,7.216891354385011892e-02,1.189296364084424074e+00,7.213015060670059653e-02,5.347192158682902985e-01,-4.514686249915982330e-01,5.347192158682902985e-01,2.766333195449345306e-01,2.766333195449345306e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.100000000000000006e-01,5.235987755982988157e-01,8.476713109566806625e-02,1.259821755181794734e+00,8.482465768542259144e-02,6.081923650686812399e-01,-4.387741179128762381e-01,6.081923650686812399e-01,2.586436975006263794e-01,2.586436975006263794e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.199999999999999956e-01,5.235987755982988157e-01,9.797854640423361849e-02,1.321141530856555502e+00,9.784351734223536989e-02,6.775617251299408395e-01,-4.257552582560634180e-01,6.775617251299408395e-01,2.408844625060560241e-01,2.408844625060560241e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.300000000000000044e-01,5.235987755982988157e-01,1.117148759096809191e-01,1.373632950544730003e+00,1.120286663688510598e-01,7.516570428831036432e-01,-4.115701092294477559e-01,7.516570428831036432e-01,2.217059973120183991e-01,2.217059973120183991e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.400000000000000133e-01,5.235987755982988157e-01,1.258850696985632234e-01,1.417019378888229264e+00,1.251373077186296034e-01,8.075777520925786490e-01,-3.984614678796691845e-01,8.075777520925786490e-01,2.054310445552400277e-01,2.054310445552400277e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.499999999999999944e-01,5.235987755982988157e-01,1.404122240888476258e-01,1.452715439028439137e+00,1.408880765172692284e-01,8.843276648697170339e-01,-3.827106990810296150e-01,8.843276648697170339e-01,1.847730691023549143e-01,1.847730691023549143e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.600000000000000033e-01,5.235987755982988157e-01,1.552047770533663551e-01,1.479255296451873924e+00,1.546819979362825948e-01,9.338341125728789605e-01,-3.689167776620162487e-01,9.338341125728789605e-01,1.687245878316153413e-01,1.687245878316153413e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.700000000000000122e-01,5.235987755982988157e-01,1.701919692847931320e-01,1.498719223142678025e+00,1.699749145844821896e-01,9.933798677975870239e-01,-3.536238610138165983e-01,9.933798677975870239e-01,1.503945535944930523e-01,1.503945535944930523e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.799999999999999933e-01,5.235987755982988157e-01,1.852963710983344947e-01,1.510440181354137046e+00,1.848242011383052774e-01,1.042534746556059044e+00,-3.387745744599935382e-01,1.042534746556059044e+00,1.335957583992827546e-01,1.335957583992827546e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.900000000000000022e-01,5.235987755982988157e-01,2.004489320080602432e-01,1.515256090972574743e+00,2.001713196660286354e-01,1.091752457177686653e+00,-3.234274559322701803e-01,1.091752457177686653e+00,1.164166467811310890e-01,1.164166467811310890e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.000000000000000111e-01,5.235987755982988157e-01,2.155812782816464990e-01,1.513234627358624573e+00,2.153433450954928552e-01,1.134297465754560141e+00,-3.082554305028059605e-01,1.134297465754560141e+00,1.001385730718833966e-01,1.001385730718833966e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
